,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,genre
0,data/musicCorp/GarlandEncyclopedia/52 Marquesan Pig Dance (Maha_u).mp3,52 Marquesan Pig Dance (Maha_u),,1,1,2116800,44.1,48,0.48210884353741496,48,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/52 Marquesan Pig Dance (Maha_u)_MS2024.mat,52 Marquesan Pig Dance (Maha_u),,world
1,data/musicCorp/GarlandEncyclopedia/02 Ethiopian Lidet Celebration.mp3,02 Ethiopian Lidet Celebration,,1,1,5292000,44.1,120,0.780907029478458,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/02 Ethiopian Lidet Celebration_MS2024.mat,02 Ethiopian Lidet Celebration,,world
2,data/musicCorp/GarlandEncyclopedia/28 A La Claire Fontaine.mp3,28 A La Claire Fontaine,,1,1,4233600,44.1,96,0.3787981859410431,92,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/28 A La Claire Fontaine_MS2024.mat,28 A La Claire Fontaine,,world
3,data/musicCorp/GarlandEncyclopedia/8-07 Wales_ Penillion.mp3,8-07 Wales_ Penillion,,1,1,3880800,44.1,88,0.8778231292517007,88,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-07 Wales_ Penillion_MS2024.mat,8-07 Wales_ Penillion,,world
4,data/musicCorp/GarlandEncyclopedia/20 Yemeni Vocal Music With Lute Accompaniment.mp3,20 Yemeni Vocal Music With Lute Accompaniment,,1,1,5292000,44.1,120,0.3653061224489796,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/20 Yemeni Vocal Music With Lute Accompaniment_MS2024.mat,20 Yemeni Vocal Music With Lute Accompaniment,,world
5,data/musicCorp/GarlandEncyclopedia/08 Maninka Mansarch Prase Song.mp3,08 Maninka Mansarch Prase Song,,1,1,5292000,44.1,120,0.45938775510204083,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/08 Maninka Mansarch Prase Song_MS2024.mat,08 Maninka Mansarch Prase Song,,world
6,"data/musicCorp/GarlandEncyclopedia/19 Women_s Devotional Song, Rajastan.mp3","19 Women_s Devotional Song, Rajastan",,1,1,3351600,44.1,76,0.38029478458049887,72,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/19 Women_s Devotional Song, Rajastan_MS2024.mat","19 Women_s Devotional Song, Rajastan",,world
7,data/musicCorp/GarlandEncyclopedia/22 Something About Me Today.mp3,22 Something About Me Today,,1,1,5292000,44.1,120,0.3183219954648526,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/22 Something About Me Today_MS2024.mat,22 Something About Me Today,,world
8,data/musicCorp/GarlandEncyclopedia/21 Shona Ancestral Spirit Song.mp3,21 Shona Ancestral Spirit Song,,1,1,5292000,44.1,120,0.2777551020408163,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/21 Shona Ancestral Spirit Song_MS2024.mat,21 Shona Ancestral Spirit Song,,world
9,data/musicCorp/GarlandEncyclopedia/05 Palm Wine Highlife Song.mp3,05 Palm Wine Highlife Song,,1,1,5292000,44.1,120,0.5360090702947846,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/05 Palm Wine Highlife Song_MS2024.mat,05 Palm Wine Highlife Song,,world
