,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_19099895.mp3,common_voice_cy_19099895,Welsh,1,1,192000,48.0,4,0.9184583333333334,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_19099895_MS2024.mat,e1aa5a151ae162dffedcb62850d6095c7aeaf626892b0839b4a6c5625160683c1c76456a324c6b2eb99914a994ab0f34ebf9ab700036d47fd256f6ac56c283bd,female
1,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_17658231.mp3,common_voice_cy_17658231,Welsh,1,1,192000,48.0,4,0.9537916666666667,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_17658231_MS2024.mat,cbe0bd8f3aa750f0091e07c0c3e40d3609f3ee9fd5d8d0e7470acea1a1297cfe35cdfaeb014d7ee33901180aeb1d74814d899b36261aae3074cc750cb4d3a554,male
2,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_23062375.mp3,common_voice_cy_23062375,Welsh,1,1,192000,48.0,4,0.56175,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_23062375_MS2024.mat,19c9c0d5467a1bb6cb72281bd04c2098f749354d44c7d7e588164d58e8a430ce256630e95155fba0b506f5be09237252680f591acf8577793699897d2d108038,male
3,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_22450806.mp3,common_voice_cy_22450806,Welsh,1,1,192000,48.0,4,0.34210416666666665,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_22450806_MS2024.mat,b6c9f54af831525438d2dc7ae8f0582eac4e5be4bcdcedccacda8342e907784b47228450099c0f87cb8efccdcecfabca63e3e64f9e1d1420a29ad542c421ae31,male
4,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_23750229.mp3,common_voice_cy_23750229,Welsh,1,1,176400,44.1,4,0.7852154195011338,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_23750229_MS2024.mat,3f4fc46153ab6cad6e222ec1dae52835861575754b45b09340d48aa48404445d660af9ade7614fe6a03bcf3924b00a83586da373733b1a0223408ac4e1fb4269,male
5,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_24399042.mp3,common_voice_cy_24399042,Welsh,1,1,128000,32.0,4,0.9608125,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_24399042_MS2024.mat,795ee10f32acedff47a7f93a64979d68031778fb3680b19a4b9681eaaa1c8d82fd10bc201651d13079ed37bffb4f155a9ec972b98e2973f7956122874e1d2914,
6,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_22433245.mp3,common_voice_cy_22433245,Welsh,1,1,384000,48.0,8,0.08189583333333333,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_22433245_MS2024.mat,de6c38a0859ec7f1a47b3fb4ba0d797d569c966ad9ecb30565739f1dc6995fb13ad0b35861f8be9b2fa1891d07330c09dac470bb8560b77bbad723d5bd29dbd2,female
7,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_18897497.mp3,common_voice_cy_18897497,Welsh,1,1,192000,48.0,4,0.6798958333333334,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_18897497_MS2024.mat,c6ada29d859a0cf69e5d0ad56fd6f05826e335df1fb8304d48a837049c040414a343000993c87db8ce1eccf65cf66f5998f6ec66d0daf5a730c2b1064f57547c,
8,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_29205919.mp3,common_voice_cy_29205919,Welsh,1,1,128000,32.0,4,0.56409375,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_29205919_MS2024.mat,c462c744f4ba84d2426a7b06462709ea093679f1bc6610b78694b5c1cca62bfef2299edeeb0b8b89e627e7b09bee0fa2bed67d8600185beb0c56e4c86e7043b0,female
9,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_20980635.mp3,common_voice_cy_20980635,Welsh,1,1,192000,48.0,4,0.6205416666666667,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_20980635_MS2024.mat,aff65e4677daa364974430bf4ee25471d67a3e0ca367e918bf754c25dfae37443546b42fb4bc64bd37e90cc40bd43acb2caf96580a2f7c0472f6422b42289a90,female
10,data/speechCorp/MozillaCommonVoice/cy/clips/common_voice_cy_18573510.mp3,common_voice_cy_18573510,Welsh,1,1,192000,48.0,4,0.6325208333333333,4,MozillaCommonVoice/cy,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cy/common_voice_cy_18573510_MS2024.mat,6ec5942e4d155b6acb78d6b50eec5a671fd896c2807c055f6c8d19cb7422dbafceaff6c0008fd310acb544452e4c1e957987385b73ba20739d5f75b503b655ea,male
