,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_22745544.mp3,common_voice_dv_22745544,Dhivehi,1,1,384000,48.0,8,0.43977083333333333,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_22745544_MS2024.mat,d0c4ff6121bfdbbf162900de8e68c2f5ea1e1d08391e4928e9f2febf82869a5aae10cb3e9d3f6b77487aad40da413e27ebf451dd980c01937dd7476c01df330a,female
1,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_18625136.mp3,common_voice_dv_18625136,Dhivehi,1,1,192000,48.0,4,0.7547708333333333,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_18625136_MS2024.mat,f5a79d21b4ee20e7008f784477fae663361e7cb5d1f06ea88a7d246502364c6c1b1d273db9334ba1feb1ee712e349c9a50425c52345c95a3d2d2b5c9d59ee6b4,female
2,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_27544973.mp3,common_voice_dv_27544973,Dhivehi,1,1,128000,32.0,4,0.18834375,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_27544973_MS2024.mat,d0c4ff6121bfdbbf162900de8e68c2f5ea1e1d08391e4928e9f2febf82869a5aae10cb3e9d3f6b77487aad40da413e27ebf451dd980c01937dd7476c01df330a,female
3,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_26617132.mp3,common_voice_dv_26617132,Dhivehi,1,1,128000,32.0,4,0.99653125,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_26617132_MS2024.mat,e97a492ff873b7b6f2d6ecab42b2e93bf42f54a18fd79511f36c9b9ec91441fe3e621ca50eae8d780d294bd021697113e43d347faac3379266acd58758caaead,male
4,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_24674989.mp3,common_voice_dv_24674989,Dhivehi,1,1,128000,32.0,4,0.92725,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_24674989_MS2024.mat,e3de19abdf1e78628e9d0b9eceb1022db3270200e46cc30440f7318eef8c93e8fa2f52baab585edbdbb55bd14edcf67dab85d0af8248d3b0a58ea68ffbf421d8,male
5,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_26682514.mp3,common_voice_dv_26682514,Dhivehi,1,1,128000,32.0,4,0.4020625,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_26682514_MS2024.mat,6c716532c5363b0ba8fb2ef19bf7fbf21f163bcc85b62bc474ebe51bd1e0249d2d7396c1b710501419d75292514fbdcedb75ee3ed02d2b5ce7fc5ec24cf25b6f,male
6,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_26706560.mp3,common_voice_dv_26706560,Dhivehi,1,1,128000,32.0,4,0.85403125,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_26706560_MS2024.mat,372562d008e0e890197022102a85c595da733572a54171bc7c37b0cb08a1846d9270bacd2406d05bd062f875ee573f0ac3a9be8d3aa7b1559774f732e878c574,
7,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_23347178.mp3,common_voice_dv_23347178,Dhivehi,1,1,192000,48.0,4,0.6734791666666666,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_23347178_MS2024.mat,e3de19abdf1e78628e9d0b9eceb1022db3270200e46cc30440f7318eef8c93e8fa2f52baab585edbdbb55bd14edcf67dab85d0af8248d3b0a58ea68ffbf421d8,male
8,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_23605163.mp3,common_voice_dv_23605163,Dhivehi,1,1,192000,48.0,4,0.7017291666666666,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_23605163_MS2024.mat,6c716532c5363b0ba8fb2ef19bf7fbf21f163bcc85b62bc474ebe51bd1e0249d2d7396c1b710501419d75292514fbdcedb75ee3ed02d2b5ce7fc5ec24cf25b6f,male
9,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_18718414.mp3,common_voice_dv_18718414,Dhivehi,1,1,192000,48.0,4,0.20116666666666666,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_18718414_MS2024.mat,d0c4ff6121bfdbbf162900de8e68c2f5ea1e1d08391e4928e9f2febf82869a5aae10cb3e9d3f6b77487aad40da413e27ebf451dd980c01937dd7476c01df330a,female
10,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_22704409.mp3,common_voice_dv_22704409,Dhivehi,1,1,192000,48.0,4,0.5625416666666667,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_22704409_MS2024.mat,83837c65a8013ee75bca324623185fa3292964d5cdacdba77cde79e8ce95d623df2b3d9000138f1f4bc2006f64ec1c3e27bc5865ab025769f611eee08051fb3e,female
11,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_18596591.mp3,common_voice_dv_18596591,Dhivehi,1,1,192000,48.0,4,0.3352291666666667,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_18596591_MS2024.mat,b8bceb407ad95f9a6a9b877c2c2bb60fdef2deef133ad90f701fad46f98b2aa746a2d632b6ad45d5c9f99631b2f43291a1a4fc78d3cdc3d7aeaf82aafe4685e4,female
12,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_26252626.mp3,common_voice_dv_26252626,Dhivehi,1,1,128000,32.0,4,0.44171875,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_26252626_MS2024.mat,a8a62d9c8defff23d4623c66489ba2e22ebc86fc864288d8f70dd809c5f0edb810bbaa95fac6f34d626d7942573360f11ad5b09bc10e1332df3f3ee42b02f70a,male
13,data/speechCorp/MozillaCommonVoice/dv/clips/common_voice_dv_22615226.mp3,common_voice_dv_22615226,Dhivehi,1,1,192000,48.0,4,0.6245,4,MozillaCommonVoice/dv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/dv/common_voice_dv_22615226_MS2024.mat,aac3973994fa06dff7074199e093516bf5bcd29b9159b7de78a9f66ce85b93630d13b6ef82c4c67983a9856317c9bebb1457a29302ec26c82933ba2df2ea9806,female
