,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/Buckeye/s30/s3003a/s3003a.wav,s3003a,English-US,1,1,1920000,16,120,0.98375,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s3003a_MS2024.mat,Buckeye_S30,m
1,data/speechCorp/Buckeye/s26/s2603b/s2603b.wav,s2603b,English-US,1,1,2048000,16,128,0.9350625,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s2603b_MS2024.mat,Buckeye_S26,f
2,data/speechCorp/Buckeye/s27/s2703a/s2703a.wav,s2703a,English-US,1,1,3328000,16,208,0.9634375,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s2703a_MS2024.mat,Buckeye_S27,f
3,data/speechCorp/Buckeye/s09/s0903a/s0903a.wav,s0903a,English-US,1,1,1920000,16,120,0.3990625,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s0903a_MS2024.mat,Buckeye_S09,f
4,data/speechCorp/Buckeye/s08/s0803b/s0803b.wav,s0803b,English-US,1,1,1984000,16,124,0.9783125,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s0803b_MS2024.mat,Buckeye_S08,f
5,data/speechCorp/Buckeye/s23/s2303a/s2303a.wav,s2303a,English-US,1,1,1920000,16,120,0.6341875,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s2303a_MS2024.mat,Buckeye_S23,m
6,data/speechCorp/Buckeye/s35/s3503b/s3503b.wav,s3503b,English-US,1,1,2304000,16,144,0.8629375,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s3503b_MS2024.mat,Buckeye_S35,m
7,data/speechCorp/Buckeye/s22/s2203b/s2203b.wav,s2203b,English-US,1,1,2176000,16,136,0.9748125,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s2203b_MS2024.mat,Buckeye_S22,m
8,data/speechCorp/Buckeye/s34/s3403a/s3403a.wav,s3403a,English-US,1,1,2496000,16,156,0.9183125,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s3403a_MS2024.mat,Buckeye_S34,m
9,data/speechCorp/Buckeye/s36/s3601a/s3601a.wav,s3601a,English-US,1,1,2304000,16,144,0.796,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s3601a_MS2024.mat,Buckeye_S36,m
10,data/speechCorp/Buckeye/s04/s0402b/s0402b.wav,s0402b,English-US,1,1,1984000,16,124,0.9249375,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s0402b_MS2024.mat,Buckeye_S04,f
11,data/speechCorp/Buckeye/s12/s1202a/s1202a.wav,s1202a,English-US,1,1,1984000,16,124,0.8164375,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s1202a_MS2024.mat,Buckeye_S12,f
12,data/speechCorp/Buckeye/s20/s2001b/s2001b.wav,s2001b,English-US,1,1,2112000,16,132,0.501875,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s2001b_MS2024.mat,Buckeye_S20,f
13,data/speechCorp/Buckeye/s37/s3701b/s3701b.wav,s3701b,English-US,1,1,2624000,16,164,0.9433125,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s3701b_MS2024.mat,Buckeye_S37,f
14,data/speechCorp/Buckeye/s05/s0502a/s0502a.wav,s0502a,English-US,1,1,2048000,16,128,0.9788125,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s0502a_MS2024.mat,Buckeye_S05,f
15,data/speechCorp/Buckeye/s13/s1302b/s1302b.wav,s1302b,English-US,1,1,2176000,16,136,0.9235,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s1302b_MS2024.mat,Buckeye_S13,m
16,data/speechCorp/Buckeye/s40/s4003a/s4003a.wav,s4003a,English-US,1,1,2304000,16,144,0.856,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s4003a_MS2024.mat,Buckeye_S40,m
17,data/speechCorp/Buckeye/s21/s2101a/s2101a.wav,s2101a,English-US,1,1,1984000,16,124,0.541,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s2101a_MS2024.mat,Buckeye_S21,f
18,data/speechCorp/Buckeye/s35/s3504a/s3504a.wav,s3504a,English-US,1,1,2624000,16,164,0.8156875,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s3504a_MS2024.mat,Buckeye_S35,m
19,data/speechCorp/Buckeye/s19/s1901b/s1901b.wav,s1901b,English-US,1,1,2176000,16,136,0.79575,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s1901b_MS2024.mat,Buckeye_S19,m
20,data/speechCorp/Buckeye/s18/s1801a/s1801a.wav,s1801a,English-US,1,1,1920000,16,120,0.793375,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s1801a_MS2024.mat,Buckeye_S18,f
21,data/speechCorp/Buckeye/s25/s2501a/s2501a.wav,s2501a,English-US,1,1,2240000,16,140,0.988125,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s2501a_MS2024.mat,Buckeye_S25,f
22,data/speechCorp/Buckeye/s17/s1702b/s1702b.wav,s1702b,English-US,1,1,2112000,16,132,0.9863125,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s1702b_MS2024.mat,Buckeye_S17,f
23,data/speechCorp/Buckeye/s01/s0102a/s0102a.wav,s0102a,English-US,1,1,1984000,16,124,0.216625,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s0102a_MS2024.mat,Buckeye_S01,f
24,data/speechCorp/Buckeye/s33/s3301b/s3301b.wav,s3301b,English-US,1,1,2112000,16,132,0.9829375,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s3301b_MS2024.mat,Buckeye_S33,m
25,data/speechCorp/Buckeye/s24/s2401b/s2401b.wav,s2401b,English-US,1,1,3456000,16,216,0.974,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s2401b_MS2024.mat,Buckeye_S24,m
26,data/speechCorp/Buckeye/s16/s1602a/s1602a.wav,s1602a,English-US,1,1,1984000,16,124,0.825,120,Buckeye,STM_output/MATs/speech_mat_wl4_Buckeye/s1602a_MS2024.mat,Buckeye_S16,f
