,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,genre,speaker/artist,gender
0,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/USD23A.wav,USD23A,English-US,,1,1587600,44.1,36,0.2680272108843537,36,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/USD23A_MS2024.mat,infant-directed,USD23,
1,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/MEN01A.wav,MEN01A,Mentawai,,1,352800,44.1,8,0.2679138321995465,8,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/MEN01A_MS2024.mat,infant-directed,MEN01,M
2,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/TOR10A.wav,TOR10A,English-Canada,,1,1234800,44.1,28,0.008798185941043084,28,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/TOR10A_MS2024.mat,infant-directed,TOR10,
3,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/MEN07C.wav,MEN07C,Mentawai,,1,529200,44.1,12,0.19750566893424037,12,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/MEN07C_MS2024.mat,adult-directed,MEN07,M
4,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/USD25C.wav,USD25C,English-US,,1,1234800,44.1,28,0.23126984126984126,28,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/USD25C_MS2024.mat,adult-directed,USD25,
5,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/BEJ08A.wav,BEJ08A,Mandarin-China,,1,705600,44.1,16,0.6619047619047619,16,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/BEJ08A_MS2024.mat,infant-directed,BEJ08,F
6,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/WEL19C.wav,WEL19C,English-NZ,,1,1764000,44.1,40,0.06303854875283446,40,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/WEL19C_MS2024.mat,adult-directed,WEL19,
7,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/TOR16C.wav,TOR16C,English-Canada,,1,705600,44.1,16,0.05204081632653061,16,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/TOR16C_MS2024.mat,adult-directed,TOR16,
8,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/WEL47C.wav,WEL47C,English-NZ,,1,1058400,44.1,24,0.3439455782312925,24,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/WEL47C_MS2024.mat,adult-directed,WEL47,
9,data/musicCorp/HiltonMoser2022_song/IDS-corpus-raw_AC/TOR48C.wav,TOR48C,English-Canada,,1,1411200,44.1,32,0.008253968253968255,32,HiltonMoser2022_song,STM_output/MATs/music_mat_wl4_HiltonMoser2022_song/TOR48C_MS2024.mat,adult-directed,TOR48,
