,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,genre,speaker/artist,gender
0,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/TOR02B.wav,TOR02B,English-Canada,1,1,882000,44.1,20,0.009682539682539683,20,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/TOR02B_MS2024.mat,infant-directed,TOR02,
1,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/MEN13B.wav,MEN13B,Mentawai,1,1,529200,44.1,12,0.009863945578231292,12,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/MEN13B_MS2024.mat,infant-directed,MEN13,F
2,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/USD26D.wav,USD26D,English-US,1,1,1940400,44.1,44,0.3055328798185941,44,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/USD26D_MS2024.mat,adult-directed,USD26,F
3,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/MEN04D.wav,MEN04D,Mentawai,1,1,1764000,44.1,40,0.46975056689342404,40,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/MEN04D_MS2024.mat,adult-directed,MEN04,F
4,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/TOR15D.wav,TOR15D,English-Canada,1,1,1587600,44.1,36,0.11970521541950113,36,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/TOR15D_MS2024.mat,adult-directed,TOR15,
5,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/TUR09B.wav,TUR09B,Finnish/Swedish,1,1,529200,44.1,12,0.2571655328798186,12,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/TUR09B_MS2024.mat,infant-directed,TUR09,
6,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/TOP02D.wav,TOP02D,Toposa,1,1,176400,44.1,4,0.3460544217687075,4,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/TOP02D_MS2024.mat,adult-directed,TOP02,F
7,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/VAN03B.wav,VAN03B,Bislama,1,1,352800,44.1,8,0.05210884353741497,8,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/VAN03B_MS2024.mat,infant-directed,VAN03,F
8,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/BEJ23D.wav,BEJ23D,Mandarin-China,1,1,529200,44.1,12,0.13990929705215419,12,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/BEJ23D_MS2024.mat,adult-directed,BEJ23,M
9,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/TSI04D.wav,TSI04D,Tsimane,1,1,705600,44.1,16,0.4860090702947846,16,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/TSI04D_MS2024.mat,adult-directed,TSI04,
10,data/speechCorp/HiltonMoser2022_speech/IDS-corpus-raw_BD/WEL44D.wav,WEL44D,English-NZ,1,1,1411200,44.1,32,0.4146485260770975,28,HiltonMoser2022_speech,STM_output/MATs/speech_mat_wl4_HiltonMoser2022_speech/WEL44D_MS2024.mat,adult-directed,WEL44,
