,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MediaSpeech/FR/0fdf3f77-5fae-4a96-8d78-882a3fb7544c.flac,0fdf3f77-5fae-4a96-8d78-882a3fb7544c.,French,1,1,192000,16,12,0.5,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/0fdf3f77-5fae-4a96-8d78-882a3fb7544c._MS2024.mat,MediaSpeech_French_0fdf3f77-5fae-4a96-8d78-882a3fb7544c.,
1,data/speechCorp/MediaSpeech/FR/59c416c6-254e-4639-9902-26c6329bb57d.flac,59c416c6-254e-4639-9902-26c6329bb57d.,French,1,1,192000,16,12,0.67025,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/59c416c6-254e-4639-9902-26c6329bb57d._MS2024.mat,MediaSpeech_French_59c416c6-254e-4639-9902-26c6329bb57d.,
2,data/speechCorp/MediaSpeech/FR/d545256d-db99-4099-b53b-252998c4a3c9.flac,d545256d-db99-4099-b53b-252998c4a3c9.,French,1,1,192000,16,12,0.5,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/d545256d-db99-4099-b53b-252998c4a3c9._MS2024.mat,MediaSpeech_French_d545256d-db99-4099-b53b-252998c4a3c9.,
3,data/speechCorp/MediaSpeech/FR/21970adb-703e-457b-99f1-826c01d592aa.flac,21970adb-703e-457b-99f1-826c01d592aa.,French,1,1,192000,16,12,0.550625,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/21970adb-703e-457b-99f1-826c01d592aa._MS2024.mat,MediaSpeech_French_21970adb-703e-457b-99f1-826c01d592aa.,
4,data/speechCorp/MediaSpeech/FR/8f7b0d08-aa1a-480f-bdbc-1883fdff30f6.flac,8f7b0d08-aa1a-480f-bdbc-1883fdff30f6.,French,1,1,192000,16,12,0.5,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/8f7b0d08-aa1a-480f-bdbc-1883fdff30f6._MS2024.mat,MediaSpeech_French_8f7b0d08-aa1a-480f-bdbc-1883fdff30f6.,
5,data/speechCorp/MediaSpeech/FR/0ee8cc5c-1d32-4001-857a-2f06c414ed38.flac,0ee8cc5c-1d32-4001-857a-2f06c414ed38.,French,1,1,192000,16,12,0.5,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/0ee8cc5c-1d32-4001-857a-2f06c414ed38._MS2024.mat,MediaSpeech_French_0ee8cc5c-1d32-4001-857a-2f06c414ed38.,
6,data/speechCorp/MediaSpeech/FR/c4e2dee0-8311-4df0-b968-3a7dcee134cc.flac,c4e2dee0-8311-4df0-b968-3a7dcee134cc.,French,1,1,128000,16,8,0.5000625,8,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/c4e2dee0-8311-4df0-b968-3a7dcee134cc._MS2024.mat,MediaSpeech_French_c4e2dee0-8311-4df0-b968-3a7dcee134cc.,
7,data/speechCorp/MediaSpeech/FR/66f0ef0c-ffec-4889-9e09-07a9e51a77f1.flac,66f0ef0c-ffec-4889-9e09-07a9e51a77f1.,French,1,1,192000,16,12,0.5,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/66f0ef0c-ffec-4889-9e09-07a9e51a77f1._MS2024.mat,MediaSpeech_French_66f0ef0c-ffec-4889-9e09-07a9e51a77f1.,
8,data/speechCorp/MediaSpeech/FR/c9dfa720-e9cb-4a78-be3e-f4623665b099.flac,c9dfa720-e9cb-4a78-be3e-f4623665b099.,French,1,1,192000,16,12,0.5395,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/c9dfa720-e9cb-4a78-be3e-f4623665b099._MS2024.mat,MediaSpeech_French_c9dfa720-e9cb-4a78-be3e-f4623665b099.,
9,data/speechCorp/MediaSpeech/FR/e6921b1a-1ec5-4da4-bb42-548630eafb30.flac,e6921b1a-1ec5-4da4-bb42-548630eafb30.,French,1,1,192000,16,12,0.5,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/e6921b1a-1ec5-4da4-bb42-548630eafb30._MS2024.mat,MediaSpeech_French_e6921b1a-1ec5-4da4-bb42-548630eafb30.,
10,data/speechCorp/MediaSpeech/FR/848d9fec-8128-4059-9574-e8b8376be767.flac,848d9fec-8128-4059-9574-e8b8376be767.,French,1,1,192000,16,12,0.564,12,MediaSpeech/FR,STM_output/MATs/speech_mat_wl4_MediaSpeech/FR/848d9fec-8128-4059-9574-e8b8376be767._MS2024.mat,MediaSpeech_French_848d9fec-8128-4059-9574-e8b8376be767.,
