,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MediaSpeech/TR/f0c128b3-3a6b-417a-a788-0af88a696048.flac,f0c128b3-3a6b-417a-a788-0af88a696048.,Turkish,1,1,192000,16,12,0.5000625,12,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/f0c128b3-3a6b-417a-a788-0af88a696048._MS2024.mat,MediaSpeech_Turkish_f0c128b3-3a6b-417a-a788-0af88a696048.,
1,data/speechCorp/MediaSpeech/TR/9471ba86-ad1f-4bda-9e7a-809ba9b277cc.flac,9471ba86-ad1f-4bda-9e7a-809ba9b277cc.,Turkish,1,1,192000,16,12,0.5018125,12,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/9471ba86-ad1f-4bda-9e7a-809ba9b277cc._MS2024.mat,MediaSpeech_Turkish_9471ba86-ad1f-4bda-9e7a-809ba9b277cc.,
2,data/speechCorp/MediaSpeech/TR/df44f26f-db9d-4072-9d84-4b968b375fc8.flac,df44f26f-db9d-4072-9d84-4b968b375fc8.,Turkish,1,1,192000,16,12,0.5,12,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/df44f26f-db9d-4072-9d84-4b968b375fc8._MS2024.mat,MediaSpeech_Turkish_df44f26f-db9d-4072-9d84-4b968b375fc8.,
3,data/speechCorp/MediaSpeech/TR/b60299cb-19f0-42a4-9a0d-cb6e8c84a89b.flac,b60299cb-19f0-42a4-9a0d-cb6e8c84a89b.,Turkish,1,1,192000,16,12,0.5368125,12,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/b60299cb-19f0-42a4-9a0d-cb6e8c84a89b._MS2024.mat,MediaSpeech_Turkish_b60299cb-19f0-42a4-9a0d-cb6e8c84a89b.,
4,data/speechCorp/MediaSpeech/TR/ca375fe1-461c-4f55-8669-e56c848aa609.flac,ca375fe1-461c-4f55-8669-e56c848aa609.,Turkish,1,1,128000,16,8,0.5025,8,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/ca375fe1-461c-4f55-8669-e56c848aa609._MS2024.mat,MediaSpeech_Turkish_ca375fe1-461c-4f55-8669-e56c848aa609.,
5,data/speechCorp/MediaSpeech/TR/4124f6cc-b8eb-4aa4-b825-d4fa13ac121d.flac,4124f6cc-b8eb-4aa4-b825-d4fa13ac121d.,Turkish,1,1,192000,16,12,0.5,12,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/4124f6cc-b8eb-4aa4-b825-d4fa13ac121d._MS2024.mat,MediaSpeech_Turkish_4124f6cc-b8eb-4aa4-b825-d4fa13ac121d.,
6,data/speechCorp/MediaSpeech/TR/fa0b1193-a2b6-45df-b7fe-f841b63c40e8.flac,fa0b1193-a2b6-45df-b7fe-f841b63c40e8.,Turkish,1,1,192000,16,12,0.5,12,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/fa0b1193-a2b6-45df-b7fe-f841b63c40e8._MS2024.mat,MediaSpeech_Turkish_fa0b1193-a2b6-45df-b7fe-f841b63c40e8.,
7,data/speechCorp/MediaSpeech/TR/8a635fe2-168a-44e9-a7fa-250185116151.flac,8a635fe2-168a-44e9-a7fa-250185116151.,Turkish,1,1,192000,16,12,0.5005,12,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/8a635fe2-168a-44e9-a7fa-250185116151._MS2024.mat,MediaSpeech_Turkish_8a635fe2-168a-44e9-a7fa-250185116151.,
8,data/speechCorp/MediaSpeech/TR/da61c3ce-7ae0-4713-8d75-0b07e7085ce9.flac,da61c3ce-7ae0-4713-8d75-0b07e7085ce9.,Turkish,1,1,192000,16,12,0.6606875,8,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/da61c3ce-7ae0-4713-8d75-0b07e7085ce9._MS2024.mat,MediaSpeech_Turkish_da61c3ce-7ae0-4713-8d75-0b07e7085ce9.,
9,data/speechCorp/MediaSpeech/TR/76854d69-495f-4c70-8724-7c45d7f680f6.flac,76854d69-495f-4c70-8724-7c45d7f680f6.,Turkish,1,1,192000,16,12,0.5,12,MediaSpeech/TR,STM_output/MATs/speech_mat_wl4_MediaSpeech/TR/76854d69-495f-4c70-8724-7c45d7f680f6._MS2024.mat,MediaSpeech_Turkish_76854d69-495f-4c70-8724-7c45d7f680f6.,
