,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_20513614.mp3,common_voice_el_20513614,Greek,1,1,192000,48.0,4,0.8868125,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_20513614_MS2024.mat,952f0b578ce2da5dc26468f783b5ffbf2adb410ac4d31678c66a8f73ac91be2abb5d3f66e4151e6bce6ec4eb17ea531b1b83e33f3e0339554e658d0efa172907,
1,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_20748977.mp3,common_voice_el_20748977,Greek,1,1,192000,48.0,4,0.41133333333333333,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_20748977_MS2024.mat,27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297,male
2,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_20813139.mp3,common_voice_el_20813139,Greek,1,1,192000,48.0,4,0.6371041666666667,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_20813139_MS2024.mat,27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297,male
3,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_20691671.mp3,common_voice_el_20691671,Greek,1,1,192000,48.0,4,0.3555,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_20691671_MS2024.mat,68bf2da51e05d0fbb0cfa68b70c314273ae8802b57f88509cf61c2aeb2d4e63831cf145326fb05eaf1da835530df7aa0c0feb2e2f2709ddf14cc1df71f3b31cd,male
4,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_21927292.mp3,common_voice_el_21927292,Greek,1,1,192000,48.0,4,0.5039166666666667,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_21927292_MS2024.mat,27583ecddbe67b194dcb21193534d2ff175ba62a8e9079397c85299679bdbb6aad9dbb4f6ba840074c294386599c80791f7124492b2bafc08d509a50c1dc9297,male
5,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_20672463.mp3,common_voice_el_20672463,Greek,1,1,192000,48.0,4,0.43164583333333334,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_20672463_MS2024.mat,28d5355d9dc6c896ba58508e0d93bedc6a88976d4177574d8b45f2dbe4c8edf9787d58ed5a29a02633a78b88c9ea4d996d3048d5cf9eac50a4c4c2716aadf337,male
6,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_24973736.mp3,common_voice_el_24973736,Greek,1,1,128000,32.0,4,0.5166875,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_24973736_MS2024.mat,e87d8543687fa18beb6f7aafa2f8345865bb548ba438782301afb88f5a80cffdbb56fa12cc9dc993ad69c4133f5a0d7a14de0e97b99bfce74bf323e1e9841938,
7,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_20946644.mp3,common_voice_el_20946644,Greek,1,1,192000,48.0,4,0.5939166666666666,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_20946644_MS2024.mat,b4ab0c7e6f01fd76f4348a3b18c90ff565d57bad273df036c9194a772c142e38748ea216f327b46ffd391ff47203803d08e703f33ebfc9bab720418a44450f12,male
8,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_24983666.mp3,common_voice_el_24983666,Greek,1,1,128000,32.0,4,0.38321875,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_24983666_MS2024.mat,52f78e68167e1d07fb1f8ba972561770150fc1c778ce1b04053ce0caf7a33cd14adb57af39b7a3219dbbf1bafc8510dee8103fbbc57a6ddfd2b72417a3c6d4ca,male
9,data/speechCorp/MozillaCommonVoice/el/clips/common_voice_el_36845537.mp3,common_voice_el_36845537,Greek,1,1,128000,32.0,4,0.43328125,4,MozillaCommonVoice/el,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/el/common_voice_el_36845537_MS2024.mat,3e14d0e020b93de341bd0d33ca96c1556f415a3c74530c46537e1fe5a7ca587c4a3ed30ecafb197d5d7f8a5373caaae6777e691e9d3cc8ecb5ea429ef34ed2d4,male
