,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36487803.mp3,common_voice_gl_36487803,Galician,1,1,128000,32,4,0.5110625,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36487803_MS2024.mat,6852016b0b60dc4972dbadcbb24180e7790126010bb09af794f5d829a193e1995e2420c6ecc0d0253e4a7454f2c67d0dd56576e19a83a6a9a046c79cd9b25f00,female
1,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_37510418.mp3,common_voice_gl_37510418,Galician,1,1,128000,32,4,0.68384375,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_37510418_MS2024.mat,a2e309cd26e4247fc82e3834629f168c0858e008a4d326ee53dc9095a5ea4d6c9969fdd1cbcc7a876827a5cf7950b5903e8216354c57f2875a74de9610c05d04,male
2,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36489000.mp3,common_voice_gl_36489000,Galician,1,1,128000,32,4,0.71834375,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36489000_MS2024.mat,9e82b9de52a42bf5fbcef9e815482fa6af05fc2c99c98d7c1ccea420853e2d5127f9e9b7b52cdf93aa1aabb98620be6bb526d093c9a3f10586630c658b24b004,female
3,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36636547.mp3,common_voice_gl_36636547,Galician,1,1,128000,32,4,0.49375,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36636547_MS2024.mat,3f9fcd612ad508942c98d4cef23f6fb87578fdc43f185488eccf7abc274a2d615a5708915e349548815370f0065d2fa6e17f83127d8ceeaf5ba033e30287298a,female
4,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36500520.mp3,common_voice_gl_36500520,Galician,1,1,128000,32,4,0.59778125,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36500520_MS2024.mat,527a5aafaa2bbb60dd6a7823895acba698ccb222337b2766881c60cad4a53ba29f0e122f369c9fb95818e4779959b4e36f480f9703f8592c88ae003e3a306dca,female
5,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36889185.mp3,common_voice_gl_36889185,Galician,1,1,128000,32,4,0.38165625,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36889185_MS2024.mat,a2e309cd26e4247fc82e3834629f168c0858e008a4d326ee53dc9095a5ea4d6c9969fdd1cbcc7a876827a5cf7950b5903e8216354c57f2875a74de9610c05d04,male
6,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36920782.mp3,common_voice_gl_36920782,Galician,1,1,128000,32,4,0.7703125,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36920782_MS2024.mat,865ce771467fd2dcdfbaa651b5de3c4d60f20a95f439ca97adb41af1ea47a33817ef8424c338450e51442a777c1296f5d3f6fa6d53b50605034230a2158e7c3b,male
7,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36619960.mp3,common_voice_gl_36619960,Galician,1,1,128000,32,4,0.3139375,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36619960_MS2024.mat,1d56f6bbeb9eee29eccf112229a04ab5468cb4fbd7474367dc13ff752c55e40831875e6be148fe885e9bf4d493470bbde51b2c25fe9b35e226e3739e8740bae7,
8,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_27622060.mp3,common_voice_gl_27622060,Galician,1,1,128000,32,4,0.28315625,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_27622060_MS2024.mat,767dcd663c5bb8cff01188adaed49527fa512743056de2da40dded6bbd97721da8eb7d41739d44c5f2061762605adb225c75a2f2386ab87fd69e2a9a5cd01eb7,
9,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_25746127.mp3,common_voice_gl_25746127,Galician,1,1,256000,32,8,0.74940625,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_25746127_MS2024.mat,1ebd814caf5c35b149a15340057db696396f8855e7122064c05d9f2bfee25cd0aaddfe3fd997f45cd9adf88f9e8b822287ba5ad79e76e8f3e3d26545cebc7e3f,
10,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36864567.mp3,common_voice_gl_36864567,Galician,1,1,128000,32,4,0.4560625,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36864567_MS2024.mat,637cc9defb0ba1f2c6eed7dd08331b357cc964131cb026981a5580995d4f4d045b8fe7496c14630e88e5346aa69c955139b1fb874a38a41d5281606e1687b053,female
11,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_36914640.mp3,common_voice_gl_36914640,Galician,1,1,128000,32,4,0.97875,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_36914640_MS2024.mat,e07497ae66be04039d9dfa58633e846f9877d79b19f9d6761b0a21d4eacc9fd46a3d14be95e5dac3f19ec6de547a9b98286e43f879acb9b16c52f085dade42de,female
12,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_26406330.mp3,common_voice_gl_26406330,Galician,1,1,128000,32,4,0.5600625,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_26406330_MS2024.mat,069980670711232a11e6de2bf1b1c0b792bbae27b3f3e372dc1fdcdb54bf35f9f4949e4243e6b158e442c5c263788a6a0e9a75298541c53385b07cd04c1849f9,
13,data/speechCorp/MozillaCommonVoice/gl/clips/common_voice_gl_35446726.mp3,common_voice_gl_35446726,Galician,1,1,256000,32,8,0.60678125,4,MozillaCommonVoice/gl,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gl/common_voice_gl_35446726_MS2024.mat,0b488cc835434a295ec3d5fd24201d6246e81a96e4f186fa27709f7a2dd1494c9184dc276a3bf23efb1a27f20bd06077117a3fa420a81e5ebb4aaa84407581ef,
