,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_19084319.mp3,common_voice_kab_19084319,Kabyle,1,1,192000,48.0,4,0.8387083333333333,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_19084319_MS2024.mat,7da78add62abe944242465f87dfa1915090e2b348ab283628a93b0e73b04fc9bb743361b1b621ca3030f117231066190be5093cc5799e49f0e58d4421d0a32ea,female
1,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_24230688.mp3,common_voice_kab_24230688,Kabyle,1,1,128000,32.0,4,0.97928125,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_24230688_MS2024.mat,9ede68c896bcd3ab8de4a7bcf02c35a05555b31aac606998b3512f8efff3b4e14ce34956d9c9f56443a4db8b17a6d1800011bb57c6222056635ec759cb290f60,
2,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_18988485.mp3,common_voice_kab_18988485,Kabyle,1,1,192000,48.0,4,0.4695416666666667,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_18988485_MS2024.mat,fc285293c90319794b5907793f7cb64b1d1e72ea4583f03c7e107fe9b1ed55dc71645d93d791945d99a27a9ebaa4f43db9b6afb759027bb37cb365c74e77a7eb,male
3,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_19271381.mp3,common_voice_kab_19271381,Kabyle,1,1,192000,48.0,4,0.8298333333333333,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_19271381_MS2024.mat,a2f418cee9f39284b60ff3ffc2ba866d166021ebbfa1ac5373acdc11e07e83c6f2044a9e18886984a3d9cf218c1dbbfe7b688b924905978fe39e64677c4408c0,female
4,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_24279791.mp3,common_voice_kab_24279791,Kabyle,1,1,128000,32.0,4,0.4485625,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_24279791_MS2024.mat,c1396e78e05deebb73fefac5f2e17ec66163f257d691d88cc958390e1a5069a5b4e1d49481df6e61f8c07907456232a73fb3c50330fad87286dbf31193e66ae9,
5,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_17542489.mp3,common_voice_kab_17542489,Kabyle,1,1,192000,48.0,4,0.3862083333333333,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_17542489_MS2024.mat,d18ef2afbf45cdc9fe3adf948063ba67d64f983547ddac7bcc9c6fde0e41bf0ee9a5a6723753046bcd8bd27843be1fe70e8f65b7c4b98aae8978d625c60cf61d,female
6,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_21766704.mp3,common_voice_kab_21766704,Kabyle,1,1,192000,48.0,4,0.9058958333333333,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_21766704_MS2024.mat,a1e8a98eb0e5c748ec09fd0704d6c6998fc93926468d322917f5ff6535c75cd53fbf9791974aa22ce2a6b198c8f25cdce9c68a727655703fbd3dca99b6f17218,male
7,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_18823458.mp3,common_voice_kab_18823458,Kabyle,1,1,192000,48.0,4,0.7907083333333333,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_18823458_MS2024.mat,1442f45a277c293affb651d40b7527de932448951f7b74bbaed40d0545bd3228ccf1b62f6429653a8d4e2183e39d419357440f575cfc444e3d45dcf4293e5703,male
8,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_19191735.mp3,common_voice_kab_19191735,Kabyle,1,1,192000,48.0,4,0.7545,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_19191735_MS2024.mat,a2f418cee9f39284b60ff3ffc2ba866d166021ebbfa1ac5373acdc11e07e83c6f2044a9e18886984a3d9cf218c1dbbfe7b688b924905978fe39e64677c4408c0,female
9,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_21931546.mp3,common_voice_kab_21931546,Kabyle,1,1,192000,48.0,4,0.900125,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_21931546_MS2024.mat,d8104ba5521a665c15ab054e05c3af1719ab2157b1068653084c29d1d470102e5682c58f274083d9ed0a534a86dbc525c105bde127c15e64038ad653bb9bf2f1,male
10,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_20076519.mp3,common_voice_kab_20076519,Kabyle,1,1,192000,48.0,4,0.8346458333333333,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_20076519_MS2024.mat,fc285293c90319794b5907793f7cb64b1d1e72ea4583f03c7e107fe9b1ed55dc71645d93d791945d99a27a9ebaa4f43db9b6afb759027bb37cb365c74e77a7eb,male
11,data/speechCorp/MozillaCommonVoice/kab/clips/common_voice_kab_17589966.mp3,common_voice_kab_17589966,Kabyle,1,1,192000,48.0,4,0.45329166666666665,4,MozillaCommonVoice/kab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kab/common_voice_kab_17589966_MS2024.mat,1341abe41178f8516354fb911b5ce5baf9e9033a3c2da62b6866fdf2c30a2f7d59f74689918fe272117d0f9464e63e419662651541986a6fcb8f58a3049ef866,female
