,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_31860675.mp3,common_voice_mhr_31860675,Meadow Mari,1,1,128000,32,4,0.81771875,4,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_31860675_MS2024.mat,c5d669f7f839a18a35d9a8fdd317fc0f6a515959b3702e0f312ac066dce4824f11a11d95b2e1fdb4cd95607e2e8e5af7247d1b654f29e78e66f131b264fe7e4b,female
1,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_32140503.mp3,common_voice_mhr_32140503,Meadow Mari,1,1,128000,32,4,0.622125,4,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_32140503_MS2024.mat,59ec85c86f8502211136e621d5969b7310003dd1c37f6fc7ef8f4ce4983f713d14db31d95c4b9c2311b64df48be82039eac3ae8527902af88ef4b22135880731,
2,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_39136670.mp3,common_voice_mhr_39136670,Meadow Mari,1,1,128000,32,4,0.78459375,4,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_39136670_MS2024.mat,11cbda6b95ddae645ecad31e4e9ba26f5d25c5070ab7853ca999360f53d5b1770ea31006a9f5a92522a1df13a5de39483d24ac581abc014f2f1131f28fe7dded,female
3,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_31060846.mp3,common_voice_mhr_31060846,Meadow Mari,1,1,128000,32,4,0.73340625,4,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_31060846_MS2024.mat,96bc749ef89fe3b4a217f3a9fa7b60bac7c5433d143ca159129b003a5c162c1fa1e049be7d676705dc53168ff1fe26d1d373f75d85f79682e337e85a58a39a99,male
4,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_31848019.mp3,common_voice_mhr_31848019,Meadow Mari,1,1,256000,32,8,0.8435625,8,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_31848019_MS2024.mat,c5d669f7f839a18a35d9a8fdd317fc0f6a515959b3702e0f312ac066dce4824f11a11d95b2e1fdb4cd95607e2e8e5af7247d1b654f29e78e66f131b264fe7e4b,female
5,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_37184810.mp3,common_voice_mhr_37184810,Meadow Mari,1,1,128000,32,4,0.88759375,4,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_37184810_MS2024.mat,299d1e09f943c4d64112f93ba00edb80eeb025bb3d7e39a21680321529f47dc3dc1e20026a4fab263abe01593c61a9513bf6e77897e5997e3a66ad38f4e4b3fa,male
6,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_31273342.mp3,common_voice_mhr_31273342,Meadow Mari,1,1,128000,32,4,0.97490625,4,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_31273342_MS2024.mat,38c100d341c35a79bd8e443d26e323fe649dfa67e613709bc628ffcaf22703cfbf4d8b5b69ece7d425e01db097140561e84bc4317e6e2ea00a94f3eddd945324,male
7,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_39425933.mp3,common_voice_mhr_39425933,Meadow Mari,1,1,128000,32,4,0.86059375,4,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_39425933_MS2024.mat,11cbda6b95ddae645ecad31e4e9ba26f5d25c5070ab7853ca999360f53d5b1770ea31006a9f5a92522a1df13a5de39483d24ac581abc014f2f1131f28fe7dded,female
8,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_36378790.mp3,common_voice_mhr_36378790,Meadow Mari,1,1,128000,32,4,0.6868125,4,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_36378790_MS2024.mat,5dcfe50990761a9128c70073058b6126a1748a1abacfa5cf95da1d5408e20c717f3c2cf2e7992ce0cffdc93eb44c3868c2dd3287e11691d01bab8507ae4e981e,female
9,data/speechCorp/MozillaCommonVoice/mhr/clips/common_voice_mhr_31660145.mp3,common_voice_mhr_31660145,Meadow Mari,1,1,256000,32,8,0.80203125,8,MozillaCommonVoice/mhr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mhr/common_voice_mhr_31660145_MS2024.mat,ce0f1515c184d077793c4d0b3c9089093b82b398e50cb88f6edabb7a4ee594cd2a5551ece6a2fdf7dd85c69350d2894e62dff92b89eba60e71fc3c40c754fc9c,female
