,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28914025.mp3,common_voice_ml_28914025,Malayalam,1,1,256000,32,8,0.6689375,8,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28914025_MS2024.mat,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,
1,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28949835.mp3,common_voice_ml_28949835,Malayalam,1,1,128000,32,4,0.73184375,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28949835_MS2024.mat,0a83baf2d66baec284d04967be435be6e6678285ac85d5895ecd2e885f56479efae9ede6d9df894ccbe7a06ec0db9296bb48415ab9e484400d2abab0a11d48b1,male
2,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28931448.mp3,common_voice_ml_28931448,Malayalam,1,1,128000,32,4,0.588375,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28931448_MS2024.mat,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,
3,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28913824.mp3,common_voice_ml_28913824,Malayalam,1,1,128000,32,4,0.575875,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28913824_MS2024.mat,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,
4,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_37863365.mp3,common_voice_ml_37863365,Malayalam,1,1,128000,32,4,0.98296875,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_37863365_MS2024.mat,b5be569192069f37579114337437751d30f9d5cf5dbde513025e81e5cb1cf2e5ef72c9e44cb7985c4acde357c1724c4b7e75947099680c65fb81159713b48154,other
5,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_29078828.mp3,common_voice_ml_29078828,Malayalam,1,1,256000,32,8,0.845875,8,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_29078828_MS2024.mat,d474d07813704b6c5844dc8bcbed3bc0f62ae2b8fd47509afe3fb4e83ab9380364e7b95789063c82b6a2f0d8f47a72d2b00400b3974427357cef580e989c1d13,male
6,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_29077728.mp3,common_voice_ml_29077728,Malayalam,1,1,128000,32,4,0.7165625,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_29077728_MS2024.mat,d474d07813704b6c5844dc8bcbed3bc0f62ae2b8fd47509afe3fb4e83ab9380364e7b95789063c82b6a2f0d8f47a72d2b00400b3974427357cef580e989c1d13,male
7,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_37546131.mp3,common_voice_ml_37546131,Malayalam,1,1,128000,32,4,0.64415625,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_37546131_MS2024.mat,5340d0912c2c74963f25056bd1fedcf51cbf8337b6bc5de99cf525b64880413354f2a085dfe1350568869022141118bab4dfa8031588efaa530af7386e857556,other
8,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_37859543.mp3,common_voice_ml_37859543,Malayalam,1,1,256000,32,8,0.68378125,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_37859543_MS2024.mat,2f4207afe55fc44c69c246bc9fd30e2032d5272dc7a2edadeedcf68822764cbb983725f1567215a5d69221a4ea16ca11ec232b6a0ab420f74115bcd601fd4d89,male
9,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28949857.mp3,common_voice_ml_28949857,Malayalam,1,1,128000,32,4,0.85196875,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28949857_MS2024.mat,0a83baf2d66baec284d04967be435be6e6678285ac85d5895ecd2e885f56479efae9ede6d9df894ccbe7a06ec0db9296bb48415ab9e484400d2abab0a11d48b1,male
10,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28954609.mp3,common_voice_ml_28954609,Malayalam,1,1,128000,32,4,0.81571875,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28954609_MS2024.mat,0a83baf2d66baec284d04967be435be6e6678285ac85d5895ecd2e885f56479efae9ede6d9df894ccbe7a06ec0db9296bb48415ab9e484400d2abab0a11d48b1,male
11,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_37658406.mp3,common_voice_ml_37658406,Malayalam,1,1,128000,32,4,0.8200625,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_37658406_MS2024.mat,5340d0912c2c74963f25056bd1fedcf51cbf8337b6bc5de99cf525b64880413354f2a085dfe1350568869022141118bab4dfa8031588efaa530af7386e857556,other
12,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28913965.mp3,common_voice_ml_28913965,Malayalam,1,1,128000,32,4,0.651125,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28913965_MS2024.mat,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,
13,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28914606.mp3,common_voice_ml_28914606,Malayalam,1,1,128000,32,4,0.9015625,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28914606_MS2024.mat,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,
14,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28949974.mp3,common_voice_ml_28949974,Malayalam,1,1,128000,32,4,0.47165625,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28949974_MS2024.mat,0a83baf2d66baec284d04967be435be6e6678285ac85d5895ecd2e885f56479efae9ede6d9df894ccbe7a06ec0db9296bb48415ab9e484400d2abab0a11d48b1,male
15,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28948506.mp3,common_voice_ml_28948506,Malayalam,1,1,128000,32,4,0.713125,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28948506_MS2024.mat,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,
16,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_37755880.mp3,common_voice_ml_37755880,Malayalam,1,1,128000,32,4,0.23209375,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_37755880_MS2024.mat,de5d38c039739e8fb7a5a3166d2672680bf4ee8ef09747b4006860be549be69201f8bec328989d248b9b5aed8791383b928b150e8097a0b177c971b1611870ac,male
17,data/speechCorp/MozillaCommonVoice/ml/clips/common_voice_ml_28948370.mp3,common_voice_ml_28948370,Malayalam,1,1,128000,32,4,0.42246875,4,MozillaCommonVoice/ml,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ml/common_voice_ml_28948370_MS2024.mat,29ca16eb2c0faea0be0ad73b5d826f5e81dc6fd4acfa9241a002b5d3619fd51c5b00b009e7b98b50caa5829f8a96697d5942b120749ee63a5d637c632bd0f7bc,
