,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_30429528.mp3,common_voice_or_30429528,Odia,1,1,128000,32,4,0.50321875,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_30429528_MS2024.mat,b0387daa800984e4069a5b7ee53956cb1c5f8d5a876ca0b4072260237d47d74afe21ec0267f9d9076c438d1af441fa9fada6c3a0bb2f10251b5b2ced597c5879,male
1,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_22757942.mp3,common_voice_or_22757942,Odia,1,1,192000,48,4,0.6489166666666667,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_22757942_MS2024.mat,a1210b5258159b5fb5fda311977b3a1b077b5d1749ce67b7b03278d590973497324f9e4e7a0b17b1f52fc7639965c53871f3e0598c8743f3dd9b8671d147cdac,male
2,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_22238848.mp3,common_voice_or_22238848,Odia,1,1,192000,48,4,0.8224583333333333,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_22238848_MS2024.mat,b0387daa800984e4069a5b7ee53956cb1c5f8d5a876ca0b4072260237d47d74afe21ec0267f9d9076c438d1af441fa9fada6c3a0bb2f10251b5b2ced597c5879,male
3,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_21834497.mp3,common_voice_or_21834497,Odia,1,1,192000,48,4,0.6240625,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_21834497_MS2024.mat,b0387daa800984e4069a5b7ee53956cb1c5f8d5a876ca0b4072260237d47d74afe21ec0267f9d9076c438d1af441fa9fada6c3a0bb2f10251b5b2ced597c5879,male
4,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_22706211.mp3,common_voice_or_22706211,Odia,1,1,192000,48,4,0.8943125,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_22706211_MS2024.mat,b0387daa800984e4069a5b7ee53956cb1c5f8d5a876ca0b4072260237d47d74afe21ec0267f9d9076c438d1af441fa9fada6c3a0bb2f10251b5b2ced597c5879,male
5,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_22288920.mp3,common_voice_or_22288920,Odia,1,1,192000,48,4,0.472125,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_22288920_MS2024.mat,bd933c97f63e61e911b4fd1b611d795d1de58a2125190956314638afdca376d8be8b890d3a812104b2977227cf0d1c52e16a686de2e2d2c05d637eaa3243027b,male
6,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_21857651.mp3,common_voice_or_21857651,Odia,1,1,192000,48,4,0.6527708333333333,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_21857651_MS2024.mat,0d3b943b1918d7b9d233b16c6da68a7a715cccb8c077bdce9e4aedbb115c2c31ec97a8550c241d1abd4ff102c9f94bfbbf3c46757cf0df8e00739169b7a59d18,male
7,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_33348662.mp3,common_voice_or_33348662,Odia,1,1,128000,32,4,0.6260625,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_33348662_MS2024.mat,a1210b5258159b5fb5fda311977b3a1b077b5d1749ce67b7b03278d590973497324f9e4e7a0b17b1f52fc7639965c53871f3e0598c8743f3dd9b8671d147cdac,male
8,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_27263823.mp3,common_voice_or_27263823,Odia,1,1,128000,32,4,0.82740625,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_27263823_MS2024.mat,b0387daa800984e4069a5b7ee53956cb1c5f8d5a876ca0b4072260237d47d74afe21ec0267f9d9076c438d1af441fa9fada6c3a0bb2f10251b5b2ced597c5879,male
9,data/speechCorp/MozillaCommonVoice/or/clips/common_voice_or_22219850.mp3,common_voice_or_22219850,Odia,1,1,192000,48,4,0.6264375,4,MozillaCommonVoice/or,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/or/common_voice_or_22219850_MS2024.mat,b0387daa800984e4069a5b7ee53956cb1c5f8d5a876ca0b4072260237d47d74afe21ec0267f9d9076c438d1af441fa9fada6c3a0bb2f10251b5b2ced597c5879,male
