,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_33391494.mp3,common_voice_ug_33391494,Uyghur,1,1,128000,32,4,0.37478125,4,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_33391494_MS2024.mat,28884f1ac18a72ed024b34ec0561b7248275cce27d0abaa98088556b1fda94285f33f18bf4360f9883bb7900d72f421cdc9c57c11cee9142aa08e7f2d07fe1d9,
1,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_27729456.mp3,common_voice_ug_27729456,Uyghur,1,1,256000,32,8,0.545625,8,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_27729456_MS2024.mat,85bd0141b6c1186c73d28042ddb0c9cae8e3a89f0f8a31f4dcdc03c67a4b0c7271f756214e49ef15297aa917617fb317dcad7d38b78584ab8f96976d7fbeed2d,
2,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_37293355.mp3,common_voice_ug_37293355,Uyghur,1,1,128000,32,4,0.39121875,4,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_37293355_MS2024.mat,cc5aae6759d334a990f6add5c59671b794af0ac4529edee745b5779ad438fa1735009db19c16bd9e93c882b695a3e4eab3631447954587a293b20bbcc6198806,
3,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_35099196.mp3,common_voice_ug_35099196,Uyghur,1,1,256000,32,8,0.54215625,8,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_35099196_MS2024.mat,6bccff4602225b053277480008e9d64ffa686f4d2d0092cde5b9e743d2441d2787571f04ed452e1eb3e298b4d856850f1648feee3dd60ff5197f2f949c7a9807,
4,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_38204120.mp3,common_voice_ug_38204120,Uyghur,1,1,128000,32,4,0.98353125,4,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_38204120_MS2024.mat,5d477b6d6f2fe3c717ee79e94eba2a170ac9b50aa3c86e93473c9effc7d2a4f8510f743ad7353fab91076e25a2faefa5852be04835fd2e0babb550bebe711728,male
5,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_27584232.mp3,common_voice_ug_27584232,Uyghur,1,1,128000,32,4,0.53009375,4,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_27584232_MS2024.mat,127b2027533f8fba253dcbab3e70cee95d7a1e06c849c71cd9fbd89644b27acd410bfd43c577190276ab95a0946cedd310ff47058ba097e215393a16dfba9385,
6,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_32842639.mp3,common_voice_ug_32842639,Uyghur,1,1,128000,32,4,0.900125,4,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_32842639_MS2024.mat,f2f247602499e7a1094719195ecfb3a14efa89bfe4ea3261593e2a50910d11e425e9b1d555cd5646d41c1a332b2ea0790bb4b20c468f12e100e228977d29909f,male
7,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_27502049.mp3,common_voice_ug_27502049,Uyghur,1,1,128000,32,4,0.69334375,4,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_27502049_MS2024.mat,fdd84bb46db8f5d16e7a2677421e07014e33e3a25f2016b38cee06c641ad50f2ee69998c2a222cde7bc24d348f53397a9b92bf106c31d4e8d352fe408e7c4342,
8,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_39283908.mp3,common_voice_ug_39283908,Uyghur,1,1,128000,32,4,0.82225,4,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_39283908_MS2024.mat,9b5d9ba584ab1cf3a9ad3572b281fe40023b1504ee94892d89c19b1a0451bf254185c8984bd4460061ba797d66f7901b79d56e0ef7d4e3d1b6f1ebbe42fe09ca,male
9,data/speechCorp/MozillaCommonVoice/ug/clips/common_voice_ug_35081646.mp3,common_voice_ug_35081646,Uyghur,1,1,128000,32,4,0.79575,4,MozillaCommonVoice/ug,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ug/common_voice_ug_35081646_MS2024.mat,cdbdc95cf87a7538298daf76ede04493d90f767a8b63a6cb8e3f09acf8d580be4b4fd3df8cdc1a34a7b144002962b31e843ae4f3ab1d663c291d56f78e16ee6f,
