,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/BibleTTS/lingala/train/HEB/HEB_001_Verse_004.flac,HEB_001_Verse_004.,Lingala,1,1,768000,48,16,0.8256458333333333,12,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/HEB_001_Verse_004._MS2024.mat,BibleTTS_HEB,,speech
1,data/speechCorp/BibleTTS/lingala/train/JOB/JOB_013_Verse_022.flac,JOB_013_Verse_022.,Lingala,1,1,384000,48,8,0.7430625,8,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/JOB_013_Verse_022._MS2024.mat,BibleTTS_JOB,,speech
2,data/speechCorp/BibleTTS/lingala/train/EXO/EXO_025_Verse_019.flac,EXO_025_Verse_019.,Lingala,1,1,768000,48,16,0.9495625,16,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/EXO_025_Verse_019._MS2024.mat,BibleTTS_EXO,,speech
3,data/speechCorp/BibleTTS/lingala/train/JER/JER_010_Verse_016.flac,JER_010_Verse_016.,Lingala,1,1,960000,48,20,0.7967708333333333,8,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/JER_010_Verse_016._MS2024.mat,BibleTTS_JER,,speech
4,data/speechCorp/BibleTTS/lingala/train/DEU/DEU_012_Verse_015.flac,DEU_012_Verse_015.,Lingala,1,1,1344000,48,28,0.8591041666666667,24,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/DEU_012_Verse_015._MS2024.mat,BibleTTS_DEU,,speech
5,data/speechCorp/BibleTTS/lingala/train/EZK/EZK_037_Verse_022.flac,EZK_037_Verse_022.,Lingala,1,1,1152000,48,24,0.8423958333333333,20,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/EZK_037_Verse_022._MS2024.mat,BibleTTS_EZK,,speech
6,data/speechCorp/BibleTTS/lingala/train/EXO/EXO_009_Verse_005.flac,EXO_009_Verse_005.,Lingala,1,1,384000,48,8,0.6418125,8,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/EXO_009_Verse_005._MS2024.mat,BibleTTS_EXO,,speech
7,data/speechCorp/BibleTTS/lingala/train/2KI/2KI_025_Verse_024.flac,2KI_025_Verse_024.,Lingala,1,1,960000,48,20,0.9913333333333332,16,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/2KI_025_Verse_024._MS2024.mat,BibleTTS_2KI,,speech
8,data/speechCorp/BibleTTS/lingala/train/1CO/1CO_004_Verse_009.flac,1CO_004_Verse_009.,Lingala,1,1,1344000,48,28,0.8724583333333333,24,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/1CO_004_Verse_009._MS2024.mat,BibleTTS_1CO,,speech
9,data/speechCorp/BibleTTS/lingala/train/1JN/1JN_004_Verse_015.flac,1JN_004_Verse_015.,Lingala,1,1,384000,48,8,0.8480625,8,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/1JN_004_Verse_015._MS2024.mat,BibleTTS_1JN,,speech
10,data/speechCorp/BibleTTS/lingala/train/1KI/1KI_022_Verse_031.flac,1KI_022_Verse_031.,Lingala,1,1,1152000,48,24,0.8100833333333334,20,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/1KI_022_Verse_031._MS2024.mat,BibleTTS_1KI,,speech
11,data/speechCorp/BibleTTS/lingala/train/ISA/ISA_022_Verse_012.flac,ISA_022_Verse_012.,Lingala,1,1,576000,48,12,0.1492291666666666,4,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/ISA_022_Verse_012._MS2024.mat,BibleTTS_ISA,,speech
12,data/speechCorp/BibleTTS/lingala/train/EPH/EPH_001_Verse_004.flac,EPH_001_Verse_004.,Lingala,1,1,768000,48,16,0.9288541666666666,12,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/EPH_001_Verse_004._MS2024.mat,BibleTTS_EPH,,speech
13,data/speechCorp/BibleTTS/lingala/train/1CH/1CH_022_Verse_015.flac,1CH_022_Verse_015.,Lingala,1,1,768000,48,16,0.7201041666666667,16,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/1CH_022_Verse_015._MS2024.mat,BibleTTS_1CH,,speech
14,data/speechCorp/BibleTTS/lingala/train/1CH/1CH_026_Verse_028.flac,1CH_026_Verse_028.,Lingala,1,1,1344000,48,28,0.8480625,24,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/1CH_026_Verse_028._MS2024.mat,BibleTTS_1CH,,speech
15,data/speechCorp/BibleTTS/lingala/train/2KI/2KI_010_Verse_023.flac,2KI_010_Verse_023.,Lingala,1,1,1152000,48,24,0.7597916666666666,20,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/2KI_010_Verse_023._MS2024.mat,BibleTTS_2KI,,speech
16,data/speechCorp/BibleTTS/lingala/train/ECC/ECC_008_Verse_005.flac,ECC_008_Verse_005.,Lingala,1,1,768000,48,16,0.8370833333333333,12,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/ECC_008_Verse_005._MS2024.mat,BibleTTS_ECC,,speech
17,data/speechCorp/BibleTTS/lingala/train/JER/JER_025_Verse_011.flac,JER_025_Verse_011.,Lingala,1,1,576000,48,12,0.7053125,12,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/JER_025_Verse_011._MS2024.mat,BibleTTS_JER,,speech
18,data/speechCorp/BibleTTS/lingala/train/JOB/JOB_022_Verse_018.flac,JOB_022_Verse_018.,Lingala,1,1,576000,48,12,0.8038958333333334,12,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/JOB_022_Verse_018._MS2024.mat,BibleTTS_JOB,,speech
19,data/speechCorp/BibleTTS/lingala/train/EXO/EXO_014_Verse_023.flac,EXO_014_Verse_023.,Lingala,1,1,576000,48,12,0.7064166666666667,12,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/EXO_014_Verse_023._MS2024.mat,BibleTTS_EXO,,speech
20,data/speechCorp/BibleTTS/lingala/train/2CH/2CH_010_Verse_007.flac,2CH_010_Verse_007.,Lingala,1,1,768000,48,16,0.7420625,12,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/2CH_010_Verse_007._MS2024.mat,BibleTTS_2CH,,speech
21,data/speechCorp/BibleTTS/lingala/train/ACT/ACT_004_Verse_026.flac,ACT_004_Verse_026.,Lingala,1,1,384000,48,8,0.8787708333333333,8,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/ACT_004_Verse_026._MS2024.mat,BibleTTS_ACT,,speech
22,data/speechCorp/BibleTTS/lingala/train/1SA/1SA_019_Verse_013.flac,1SA_019_Verse_013.,Lingala,1,1,960000,48,20,0.7506875,20,BibleTTS/lingala,STM_output/MATs/speech_mat_wl4_BibleTTS/lingala/1SA_019_Verse_013._MS2024.mat,BibleTTS_1SA,,speech
