,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,gender,speaker/artist,Genre,corpus_type
0,"data/musicCorp/CD/Frans Brüggen_ Orchestra Of The 18th Century/Mozart_ Symphony #41/04 Mozart_ Symphony #41 In C, K 551, _Jupiter_ - 4. Molto Allegro.m4a","04 Mozart_ Symphony #41 In C, K 551, _Jupiter_ - 4. Molto Allegro",multi,0,1,5292000,44.1,120,0.0424036281179138,120,CD,"STM_output/MATs/music_mat_wl4_CD/04 Mozart_ Symphony #41 In C, K 551, _Jupiter_ - 4. Molto Allegro_MS2024.mat",,Frans Brüggen,Classical,music
1,"data/musicCorp/CD/Yo-Yo Ma/Bach_ Cello Suites [Disc 1]/1-18 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 6. Gigue.m4a","1-18 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 6. Gigue",cello,0,1,5292000,44.1,120,0.1570294784580498,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-18 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 6. Gigue_MS2024.mat",,Yo-Yo Ma,Classical,music
2,"data/musicCorp/CD/Yo-Yo Ma/Bach_ Cello Suites [Disc 1]/1-18 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 6. Gigue.m4a","1-18 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 6. Gigue",cello,0,1,5292000,44.1,120,0.1570294784580498,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-18 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 6. Gigue_MS2024.mat",,Yo-Yo Ma,Classical,music
3,data/musicCorp/CD/The Dave Brubeck Quartet/Time Out/07 Pick Up Sticks.m4a,07 Pick Up Sticks,multi,0,1,5292000,44.1,120,0.0693197278911564,120,CD,STM_output/MATs/music_mat_wl4_CD/07 Pick Up Sticks_MS2024.mat,,The Dave Brubeck Quartet,Jazz,music
4,"data/musicCorp/CD/Charles Mackerras_ Scottish Chamber Orchestra/Beethoven_ Symphonies [Disc 3]/3-05 Beethoven_ Symphony #6 In F, Op. 68, _Pastoral_ - 1. Allegro Ma Non Troppo.m4a","3-05 Beethoven_ Symphony #6 In F, Op. 68, _Pastoral_ - 1. Allegro Ma Non Troppo",multi,0,1,5292000,44.1,120,0.5525850340136055,120,CD,"STM_output/MATs/music_mat_wl4_CD/3-05 Beethoven_ Symphony #6 In F, Op. 68, _Pastoral_ - 1. Allegro Ma Non Troppo_MS2024.mat",,Charles Mackerras,Classical,music
5,"data/musicCorp/CD/Edgar Meyer/Bach_ Unaccompanied Cello Suites Performed On Double Bass/09 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante.m4a","09 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante",cello,0,1,5292000,44.1,120,0.0411791383219954,120,CD,"STM_output/MATs/music_mat_wl4_CD/09 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante_MS2024.mat",,Edgar Meyer,Classical,music
6,"data/musicCorp/CD/Edgar Meyer/Bach_ Unaccompanied Cello Suites Performed On Double Bass/09 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante.m4a","09 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante",cello,0,1,5292000,44.1,120,0.0411791383219954,120,CD,"STM_output/MATs/music_mat_wl4_CD/09 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante_MS2024.mat",,Edgar Meyer,Classical,music
7,"data/musicCorp/CD/Rinaldo Alessandrini_ Concerto Italiano/Bach_ Brandenburg Concertos [Disc 2]/2-10 Bach_ Brandenburg Concerto #6 In B Flat, BWV 1051 - 3. Allegro.m4a","2-10 Bach_ Brandenburg Concerto #6 In B Flat, BWV 1051 - 3. Allegro",multi,0,1,5292000,44.1,120,0.0882993197278911,120,CD,"STM_output/MATs/music_mat_wl4_CD/2-10 Bach_ Brandenburg Concerto #6 In B Flat, BWV 1051 - 3. Allegro_MS2024.mat",,Rinaldo Alessandrini,Classical,music
8,data/musicCorp/CD/The Beatles/1962-1966 [Disc 1]/1-04 She Loves You.m4a,1-04 She Loves You,multi_Voi,1,1,5292000,44.1,120,0.4203174603174603,120,CD,STM_output/MATs/music_mat_wl4_CD/1-04 She Loves You_MS2024.mat,,The Beatles,Rock,music
9,data/musicCorp/CD/Red Hot Chili Peppers/Californication/02 Parallel Universe.m4a,02 Parallel Universe,multi_Voi,1,1,5292000,44.1,120,0.4473242630385488,120,CD,STM_output/MATs/music_mat_wl4_CD/02 Parallel Universe_MS2024.mat,,Red Hot Chili Peppers,Rock,music
