,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/EUROM/data 4/NorwegianSet/EUROM1_N-Norwegian2of4/CVC_CTX/VERYFEW/CTX3/AIV30092.SNS,AIV30092,Norwegian,1,1,400000,20,20,0.5562,20,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/AIV30092_MS2024.mat,EUROM_Norwegian_AI,,speech
1,data/speechCorp/EUROM/data 1/SwedishSet/EUROM1_S-Swedish4of4/CVC/FEW/S5/MTS50703.SSS,MTS50703,Swedish,1,1,640000,20,32,0.9995,28,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/MTS50703_MS2024.mat,EUROM_Swedish_MT,,speech
2,data/speechCorp/EUROM/data 4/SwedishSet/EUROM1_S-Swedish4of4/CVC_CTX/VERYFEW/CTX2/NLU40512.SSS,NLU40512,Swedish,1,1,720000,20,36,0.95145,36,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/NLU40512_MS2024.mat,EUROM_Swedish_NL,,speech
3,data/speechCorp/EUROM/data 5/English/PASSAGES/FEW/O7/FAO70076.PES,FAO70076,English,1,1,320000,20,16,0.62925,16,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/FAO70076_MS2024.mat,EUROM_English_FA,,speech
4,data/speechCorp/EUROM/data 6/DanishSet/EUROM1_D-CD3of5/PASSAGES/MANY/E4/IVE40006.PDS,IVE40006,Danish,1,1,400000,20,20,0.6385,20,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/IVE40006_MS2024.mat,EUROM_Danish_IV,,speech
5,data/speechCorp/EUROM/data 5/SwedishSet/EUROM1_S-Swedish1of4/PASSAGES/MANY/O8/LPO81553.PSS,LPO81553,Swedish,1,1,480000,20,24,0.64615,24,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/LPO81553_MS2024.mat,EUROM_Swedish_LP,,speech
6,data/speechCorp/EUROM/data 6/FrenchSet/EUROM1_F-French3of5/NUMBERS/FEW/N2/JAN21542.NFS,JAN21542,French,1,1,960000,20,48,0.9601,4,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/JAN21542_MS2024.mat,EUROM_French_JA,,speech
7,data/speechCorp/EUROM/data 6/DutchSet/EUROM1_H-Dutch2of5/NUMBERS/MANY/N5/SHN50049.NHS,SHN50049,Dutch,1,1,1360000,20,68,0.7896,4,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/SHN50049_MS2024.mat,EUROM_Dutch_SH,,speech
8,data/speechCorp/EUROM/data 1/NorwegianSet/EUROM1_N-Norwegian3of4/NUMBERS/FEW/N4/BHN40027.NNS,BHN40027,Norwegian,1,1,560000,20,28,0.71865,24,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/BHN40027_MS2024.mat,EUROM_Norwegian_BH,,speech
9,data/speechCorp/EUROM/data 2/NorwegianSet/EUROM1_N-Norwegian3of4/NUMBERS/FEW/N4/SGN40026.NNS,SGN40026,Norwegian,1,1,640000,20,32,0.738,32,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/SGN40026_MS2024.mat,EUROM_Norwegian_SG,,speech
10,data/speechCorp/EUROM/data 3/DanishSet/EUROM1_D-CD3of5/PASSAGES/MANY/D4/PAD40005.PDS,PAD40005,Danish,1,1,400000,20,20,0.9524,20,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/PAD40005_MS2024.mat,EUROM_Danish_PA,,speech
11,data/speechCorp/EUROM/data 1/DanishSet/EUROM1_D-CD2of5/NUMBERS/FEW/N3/JSN31238.NDS,JSN31238,Danish,1,1,1040000,20,52,0.92585,4,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/JSN31238_MS2024.mat,EUROM_Danish_JS,,speech
12,data/speechCorp/EUROM/data 6/DutchSet/EUROM1_H-Dutch4of5/PASSAGES/FEW/R8/RWR81047.PHS,RWR81047,Dutch,1,1,560000,20,28,0.9684,24,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/RWR81047_MS2024.mat,EUROM_Dutch_RW,,speech
13,data/speechCorp/EUROM/data 6/NorwegianSet/EUROM1_N-Norwegian1of4/NUMBERS/MANY/N4/BSN40004.NNS,BSN40004,Norwegian,1,1,960000,20,48,0.9869,44,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/BSN40004_MS2024.mat,EUROM_Norwegian_BS,,speech
14,data/speechCorp/EUROM/data 3/DanishSet/EUROM1_D-CD2of5/NUMBERS/FEW/N1/LDN10709.NDS,LDN10709,Danish,1,1,1120000,20,56,0.95345,4,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/LDN10709_MS2024.mat,EUROM_Danish_LD,,speech
15,data/speechCorp/EUROM/data 2/SwedishSet/EUROM1_S-Swedish1of4/PASSAGES/MANY/O8/SLO81373.PSS,SLO81373,Swedish,1,1,560000,20,28,0.69855,20,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/SLO81373_MS2024.mat,EUROM_Swedish_SL,,speech
16,data/speechCorp/EUROM/data 3/FrenchSet/EUROM1_F-French1of5/PASSAGES/MANY/R6/MJR60424.PFS,MJR60424,French,1,1,480000,20,24,0.73355,20,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/MJR60424_MS2024.mat,EUROM_French_MJ,,speech
17,data/speechCorp/EUROM/data 5/SwedishSet/EUROM1_S-Swedish1of4/PASSAGES/FEW/R6/MTR60742.PSS,MTR60742,Swedish,1,1,400000,20,20,0.6983,12,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/MTR60742_MS2024.mat,EUROM_Swedish_MT,,speech
18,data/speechCorp/EUROM/data 3/GermanSet/EUROM1_G-German4of5/PASSAGES/MANY/23/LH230086.PGS,LH230086,German,1,1,320000,20,16,0.725,16,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/LH230086_MS2024.mat,EUROM_German_LH,,speech
19,data/speechCorp/EUROM/data 4/GermanSet/EUROM1_G-German3of5/NUMBERS/MANY/N5/NBN50425.NGS,NBN50425,German,1,1,1120000,20,56,0.9876,24,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/NBN50425_MS2024.mat,EUROM_German_NB,,speech
20,data/speechCorp/EUROM/data 6/DutchSet/EUROM1_H-Dutch4of5/PASSAGES/FEW/O3/SDO30981.PHS,SDO30981,Dutch,1,1,560000,20,28,0.80945,28,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/SDO30981_MS2024.mat,EUROM_Dutch_SD,,speech
21,data/speechCorp/EUROM/data 6/FrenchSet/EUROM1_F-French2of5/NUMBERS/MANY/N2/DAN20215.NFS,DAN20215,French,1,1,960000,20,48,0.93355,24,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/DAN20215_MS2024.mat,EUROM_French_DA,,speech
22,data/speechCorp/EUROM/data 2/GermanSet/EUROM1_G-German4of5/PASSAGES/MANY/18/NT180150.PGS,NT180150,German,1,1,320000,20,16,0.55205,16,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/NT180150_MS2024.mat,EUROM_German_NT,,speech
23,data/speechCorp/EUROM/data 6/NorwegianSet/EUROM1_N-Norwegian1of4/NUMBERS/MANY/N3/TJN30003.NNS,TJN30003,Norwegian,1,1,720000,20,36,0.9112,20,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/TJN30003_MS2024.mat,EUROM_Norwegian_TJ,,speech
24,data/speechCorp/EUROM/data 6/DanishSet/EUROM1_D-CD2of5/NUMBERS/FEW/N1/BAN10024.NDS,BAN10024,Danish,1,1,1120000,20,56,0.79325,52,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/BAN10024_MS2024.mat,EUROM_Danish_BA,,speech
25,data/speechCorp/EUROM/data 3/English/SENTENCE/FEW/F4/FEF40667.SES,FEF40667,English,1,1,720000,20,36,0.89995,20,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/FEF40667_MS2024.mat,EUROM_English_FE,,speech
26,data/speechCorp/EUROM/data 5/GermanSet/EUROM1_G-German2of5/NUMBERS/MANY/N2/HIN20002.NGS,HIN20002,German,1,1,960000,20,48,0.9486,32,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/HIN20002_MS2024.mat,EUROM_German_HI,,speech
27,data/speechCorp/EUROM/data 2/SwedishSet/EUROM1_S-Swedish4of4/CVC/FEW/S3/GBS30813.SSS,GBS30813,Swedish,1,1,160000,20,8,0.9317,8,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/GBS30813_MS2024.mat,EUROM_Swedish_GB,,speech
28,data/speechCorp/EUROM/data 5/FrenchSet/EUROM1_F-French2of5/NUMBERS/MANY/N4/MCN40076.NFS,MCN40076,French,1,1,960000,20,48,0.8404,4,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/MCN40076_MS2024.mat,EUROM_French_MC,,speech
29,data/speechCorp/EUROM/data 5/DutchSet/EUROM1_H-Dutch3of5/PASSAGES/MANY/Q0/GFQ00138.PHS,GFQ00138,Dutch,1,1,560000,20,28,0.96905,24,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/GFQ00138_MS2024.mat,EUROM_Dutch_GF,,speech
30,data/speechCorp/EUROM/data 3/FrenchSet/EUROM1_F-French1of5/PASSAGES/MANY/Q9/KMQ90271.PFS,KMQ90271,French,1,1,320000,20,16,0.79875,16,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/KMQ90271_MS2024.mat,EUROM_French_KM,,speech
31,data/speechCorp/EUROM/data 3/English/NUMBERS/N1/MTN10207.NES,MTN10207,English,1,1,1200000,20,60,0.5276,8,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/MTN10207_MS2024.mat,EUROM_English_MT,,speech
32,data/speechCorp/EUROM/data 6/FrenchSet/EUROM1_F-French2of5/NUMBERS/MANY/N3/JNN30458.NFS,JNN30458,French,1,1,880000,20,44,0.79345,36,EUROM,STM_output/MATs/speech_mat_wl4_EUROM/JNN30458_MS2024.mat,EUROM_French_JN,,speech
