,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,genre,corpus_type
0,"data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/05 - Sonata in A minor, Op. post. 143 D.784 - I. Allegro giusto-11.wav","05 - Sonata in A minor, Op. post. 143 D.784 - I. Allegro giusto-11",pia,0.0,1,882000,44.1,20,0.2507482993197279,20,IRMAS,"STM_output/MATs/music_mat_wl4_IRMAS/05 - Sonata in A minor, Op. post. 143 D.784 - I. Allegro giusto-11_MS2024.mat","05 - Sonata in A minor, Op. post. 143 D.784 - I. Allegro giusto",,,music
1,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Four Tet - Love Cry-26.wav,Four Tet - Love Cry-26,voi,1.0,1,176400,44.1,4,0.0034240362811791,4,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Four Tet - Love Cry-26_MS2024.mat,Four Tet - Love Cry,,,music
2,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Tool - Lateralis-38.wav,Tool - Lateralis-38,gel,0.0,1,705600,44.1,16,0.0067800453514739,16,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Tool - Lateralis-38_MS2024.mat,Tool - Lateralis,,,music
3,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/13 Living in the Past-1.wav,13 Living in the Past-1,flu-gel,0.0,1,705600,44.1,16,0.1465532879818594,16,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/13 Living in the Past-1_MS2024.mat,13 Living in the Past,,,music
4,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/06-Confirmation-3.wav,06-Confirmation-3,pia,0.0,1,352800,44.1,8,0.0017460317460317,8,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/06-Confirmation-3_MS2024.mat,06-Confirmation,,,music
5,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Bobby Sox Blues-2.wav,Bobby Sox Blues-2,gel-pia,0.0,1,882000,44.1,20,0.7263718820861678,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Bobby Sox Blues-2_MS2024.mat,Bobby Sox Blues,,,music
6,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/03-the_beatles-lucy_in_the_sky_with_diamonds-3.wav,03-the_beatles-lucy_in_the_sky_with_diamonds-3,voi,1.0,1,705600,44.1,16,0.0021995464852607,16,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/03-the_beatles-lucy_in_the_sky_with_diamonds-3_MS2024.mat,03-the_beatles-lucy_in_the_sky_with_diamonds,,,music
7,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Zamfir - The Lonely Shepherd - 01 - The Lonely Shepherd-3.wav,Zamfir - The Lonely Shepherd - 01 - The Lonely Shepherd-3,flu-gac,0.0,1,882000,44.1,20,0.0055555555555555,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Zamfir - The Lonely Shepherd - 01 - The Lonely Shepherd-3_MS2024.mat,Zamfir - The Lonely Shepherd - 01 - The Lonely Shepherd,,,music
8,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Doc Watson - Doc Watson - Deep River Blues-10.wav,Doc Watson - Doc Watson - Deep River Blues-10,gac,0.0,1,705600,44.1,16,0.0111791383219954,16,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Doc Watson - Doc Watson - Deep River Blues-10_MS2024.mat,Doc Watson - Doc Watson - Deep River Blues,,,music
9,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/06 Night Train-3.wav,06 Night Train-3,gel-org,0.0,1,882000,44.1,20,0.0070068027210884,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/06 Night Train-3_MS2024.mat,06 Night Train,,,music
10,"data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/05 - Sonata in A minor, Op. post. 143 D.784 - I. Allegro giusto-26.wav","05 - Sonata in A minor, Op. post. 143 D.784 - I. Allegro giusto-26",pia,0.0,1,882000,44.1,20,0.0036734693877551,20,IRMAS,"STM_output/MATs/music_mat_wl4_IRMAS/05 - Sonata in A minor, Op. post. 143 D.784 - I. Allegro giusto-26_MS2024.mat","05 - Sonata in A minor, Op. post. 143 D.784 - I. Allegro giusto",,,music
11,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Queen of the Stone Age - 08 - Go With the Flow-12.wav,Queen of the Stone Age - 08 - Go With the Flow-12,gel-pia-voi,1.0,1,705600,44.1,16,0.0014285714285714,16,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Queen of the Stone Age - 08 - Go With the Flow-12_MS2024.mat,Queen of the Stone Age - 08 - Go With the Flow,,,music
12,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 - Honky Cat-5.wav,01 - Honky Cat-5,pia-voi,1.0,1,176400,44.1,4,0.0078684807256235,4,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 - Honky Cat-5_MS2024.mat,01 - Honky Cat,,,music
13,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01-pet_shop_boys-minimal_(radio_edit)-gti-5.wav,01-pet_shop_boys-minimal_(radio_edit)-gti-5,voi,1.0,1,529200,44.1,12,0.000907029478458,12,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01-pet_shop_boys-minimal_(radio_edit)-gti-5_MS2024.mat,01-pet_shop_boys-minimal_(radio_edit)-gti,,,music
14,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01) Bert Jansch - Avocet-13.wav,01) Bert Jansch - Avocet-13,gac-vio,0.0,1,882000,44.1,20,0.0036054421768707,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01) Bert Jansch - Avocet-13_MS2024.mat,01) Bert Jansch - Avocet,,,music
15,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/1.1_Stranger On The Shore-1.wav,1.1_Stranger On The Shore-1,cla,0.0,1,352800,44.1,8,0.1108843537414966,8,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/1.1_Stranger On The Shore-1_MS2024.mat,1.1_Stranger On The Shore,,,music
16,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/06 Night Train-21.wav,06 Night Train-21,gel-org-voi,1.0,1,882000,44.1,20,0.001360544217687,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/06 Night Train-21_MS2024.mat,06 Night Train,,,music
17,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/02 Stardust-3.wav,02 Stardust-3,tru,0.0,1,882000,44.1,20,0.0029931972789115,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/02 Stardust-3_MS2024.mat,02 Stardust,,,music
