,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29455934.mp3,common_voice_ab_29455934,Abkhaz,1,1,128000,32,4,0.59934375,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29455934_MS2024.mat,7eaf261f06608af7aacb811a5cdb397e130563b5e5ac51936940ae7de83aa2ef6294b64e09226e79d8dd7b900e3074b9dcb438ea5fd7170f43e7aac9f1cd4c64,female,speech
1,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29567316.mp3,common_voice_ab_29567316,Abkhaz,1,1,128000,32,4,0.498125,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29567316_MS2024.mat,f369cd1f991acf34bc5fbecc429ea1c932e6de28307a95a6b46553340e2860ab43d54ae6df4f86eb7827cb56f07cb2bde45042ed1ad8e025c571bc9a15a4a840,female,speech
2,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29772238.mp3,common_voice_ab_29772238,Abkhaz,1,1,128000,32,4,0.44471875,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29772238_MS2024.mat,24dc8e68ead02a9b0238f145e7243f6788e597cb214663aac3367a01f8f2875f4b30f340e3a14ae464fdf6da2a99212c6fb672455b33f118e0862479c6058b6b,female,speech
3,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29625873.mp3,common_voice_ab_29625873,Abkhaz,1,1,128000,32,4,0.39121875,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29625873_MS2024.mat,c5f486df0361c66720b15b58f9e4e9bb4e5acedc4370175b7821cfe8a6975df6e93e832c4735dcd3b173a8e05d9de9630cbcfe9e46cb1d74150d7287887f70dd,female,speech
4,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29284221.mp3,common_voice_ab_29284221,Abkhaz,1,1,128000,32,4,0.8676875,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29284221_MS2024.mat,c53c72c69e9be132a9b8bff18c9ea966a41a74ffa6ebf47febc40c3e22d12b7322b871ca21b64a72da377b593e97147d18c8419f6145e36537435ba8b6e136cc,male,speech
5,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29497860.mp3,common_voice_ab_29497860,Abkhaz,1,1,128000,32,4,0.77946875,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29497860_MS2024.mat,8147447f6cff1f36847b0807bbc8df203d3db06b03332f0b7d595416a439a9bbaa9e1e9d9c8090fcd42f6fbc7d90f2e6be7820aa6811e088a430bfc6fd14f847,male,speech
6,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29661921.mp3,common_voice_ab_29661921,Abkhaz,1,1,256000,32,8,0.81384375,8,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29661921_MS2024.mat,6384bbf7f975b64f521b61f2a54a52d4976c28bb5361740b8a103fc29ec51768383dae42baa1cd1b4680d8437d1c1c9b407d09ba5998407d617a59d2af1c8a78,female,speech
7,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29296893.mp3,common_voice_ab_29296893,Abkhaz,1,1,128000,32,4,0.42171875,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29296893_MS2024.mat,adc3ba6a6b0af93224356c7be1c9e5213a20315d50648ba8eb4448f59a7ab4e31722b194d25af36189b20ba69e36d38a6cb1f09693bc6d2cf2cda9c71deee801,,speech
8,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29667469.mp3,common_voice_ab_29667469,Abkhaz,1,1,128000,32,4,0.19534375,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29667469_MS2024.mat,0a926f78adff3c55ab41e8ef90064495029c3e85f7fd12fb277839cab9e79a826f6e48d31b222967de6d4657a9dafc237d1f780f088da13d49b275eb33dd0b47,female,speech
9,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29778838.mp3,common_voice_ab_29778838,Abkhaz,1,1,128000,32,4,0.78934375,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29778838_MS2024.mat,e00f59e7070258d07b73ac9a4a177b98a1e51fef68f6f25895c78ca4697425007b41b6e0a1ba8023a743c985c47da9e124b67299eb8a0a1aa64ce1c543a5d22e,female,speech
10,data/speechCorp/MozillaCommonVoice/ab/clips/common_voice_ab_29379592.mp3,common_voice_ab_29379592,Abkhaz,1,1,256000,32,8,0.43621875,4,MozillaCommonVoice/ab,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ab/common_voice_ab_29379592_MS2024.mat,9fce3ba3cef048773f68a3e0ae65b1284fe8701bbe3ca729c8d13c3f15973637982ed4ab4f757c2227399632c28a7c2b669fbb7a80093f6126a6708e2fb20663,female,speech
