,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31577957.mp3,common_voice_bn_31577957,Bengali,1,1,128000,32,4,0.403625,4,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31577957_MS2024.mat,2669bdc299bf6987197ff5d7784165aaa07b970cb6a4867eff652e1f6b04056e7773bc44d48df2cf807f9f840bebc97113228fe1d96b74921734b6ceeb2ff707,,speech
1,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_35536638.mp3,common_voice_bn_35536638,Bengali,1,1,128000,32,4,0.5715625,4,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_35536638_MS2024.mat,51f211e139888f854a0de1ce429d78220b2b184cf3fd187e6405a5afb00f1b2162ddda3c1b6201c39e4d290ef6a255edb821c93f7103afab742028205d0583be,male,speech
2,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31618441.mp3,common_voice_bn_31618441,Bengali,1,1,256000,32,8,0.8374375,8,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31618441_MS2024.mat,3a2329533f0ed5d5738ff2d7aa84901369e4107d503074761d65143627d6a3379999b7b2c34977ca768ff3ce5d57d0e6425fd41d13b67e0c11aa55299906b130,,speech
3,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31525925.mp3,common_voice_bn_31525925,Bengali,1,1,256000,32,8,0.8961875,8,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31525925_MS2024.mat,b55cd345b7b036b83e2e6efaca3bc12b61108c296b991bfe51571b5f92c33c6db479e6da93764b12d66ab8c6d7301b3bf072b8146c25efeaa2c3a483d872d41d,,speech
4,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31752229.mp3,common_voice_bn_31752229,Bengali,1,1,128000,32,4,0.256125,4,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31752229_MS2024.mat,21b4e516183a7354952bb006b801abc869e4dafd923f8fbaa0e34c7bc50108f0fde01f54dab61ee3c8962a1da33d1717d5c5c75f4bd222cb7e027e6f1fded598,male,speech
5,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31532388.mp3,common_voice_bn_31532388,Bengali,1,1,256000,32,8,0.8481875,8,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31532388_MS2024.mat,5ef563c711413ac61f5244074b42312b570172f13e91cd5152641c8ef0cbea0c70a5fe37ec049dd22bccb4c8b33f418ece47052bf569655808a2728aa76e464b,,speech
6,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31681230.mp3,common_voice_bn_31681230,Bengali,1,1,256000,32,8,0.4308125,4,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31681230_MS2024.mat,cb417261bc76599022d0a217c3609040019a0d0060a1b2970bcf20be3ee2acfaa0f25cb71632f1fb4adc3654a175230897c6243f8daf6f499f60da4aa9e5994d,male,speech
7,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31555024.mp3,common_voice_bn_31555024,Bengali,1,1,256000,32,8,0.04971875,8,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31555024_MS2024.mat,94d39ed9cf04109e5a5e40a8c596060c1dac63105a2639d49a9fe5e9df806820b2088666ba35b71c0fcdf3e3c7576db8b57c411cf458d1671de62d88ddd1e581,,speech
8,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31536494.mp3,common_voice_bn_31536494,Bengali,1,1,128000,32,4,0.7850625,4,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31536494_MS2024.mat,55e34bf6ebeda7546ab00805b07f1517d4f7cefdcf9ec3b2a4fa984243f37f8ef4c45f879acd1242f2c503b2de55bf1b3ec66dd543d51ee73415fba179df6a8f,male,speech
9,data/speechCorp/MozillaCommonVoice/bn/clips/common_voice_bn_31523610.mp3,common_voice_bn_31523610,Bengali,1,1,256000,32,8,0.58253125,8,MozillaCommonVoice/bn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/bn/common_voice_bn_31523610_MS2024.mat,7321058293d954245fd59145661bafc944c25b98e58f1c03ae20e45b6b556fb53bf2a651f8bb4aaa2f49f010a25c4420f72ed41ad8104c8a8863f05b59d40927,male,speech
