,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17922915.mp3,common_voice_cnh_17922915,Hakha Chin,1,1,192000,48,4,0.2059583333333333,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17922915_MS2024.mat,daf76126e823b2f83e4d14341f94003d7eec9f8102d46a8091174d24f968506e3782df07e1579193bf857f3a279d15fcaa05ffe66ba1fb435113488b0b7828bb,female,speech
1,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17925885.mp3,common_voice_cnh_17925885,Hakha Chin,1,1,192000,48,4,0.1294166666666666,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17925885_MS2024.mat,7a7daecafe429f9612d3ebc3026874956bb505d8d54ad85882d5bf2647c998f60ca4e992d66158963b8a80ab10374d6c18dd232a38662208602ca8501096ea2b,male,speech
2,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17894871.mp3,common_voice_cnh_17894871,Hakha Chin,1,1,192000,48,4,0.4404791666666666,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17894871_MS2024.mat,82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1,,speech
3,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17925037.mp3,common_voice_cnh_17925037,Hakha Chin,1,1,192000,48,4,0.6298958333333333,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17925037_MS2024.mat,34f190ab22a43fda4fc48599bc269126b4ca867608548504493138c08dcf8fcad7904509cfda2c627cb9c99aae8482a76fb398e1ff9ab0e42476aef344d0ed28,male,speech
4,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17896212.mp3,common_voice_cnh_17896212,Hakha Chin,1,1,192000,48,4,0.6706666666666666,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17896212_MS2024.mat,82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1,,speech
5,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17924642.mp3,common_voice_cnh_17924642,Hakha Chin,1,1,384000,48,8,0.1254583333333333,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17924642_MS2024.mat,34c89a1bed46d242b1f3591bc242ab8ec4e8d2c406c6ea1e410d35cb8b5850c954d791b9ce1acbf054d567f60c069d1c850f8679bad68b31a3ae0d40ddb85bef,,speech
6,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17913371.mp3,common_voice_cnh_17913371,Hakha Chin,1,1,192000,48,4,0.1106458333333333,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17913371_MS2024.mat,440df76ff95700a8bfedef5ed3f404b28cb8b31b949075ce05679c8ee6063e9ab537abf02588e61845188fa8465974e1ee28fc6605d1f5e4a71989c702dc9759,,speech
7,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17929443.mp3,common_voice_cnh_17929443,Hakha Chin,1,1,192000,48,4,0.0670208333333333,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17929443_MS2024.mat,b2663cb9a9ce0a9a5615955703fb944cf459878a812cb8024e02fbc382ffdb8747cebb30bdab191d77082428a1e64bfc843b829f027e0952bdc765cc34268656,male,speech
8,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17922940.mp3,common_voice_cnh_17922940,Hakha Chin,1,1,192000,48,4,0.3021666666666666,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17922940_MS2024.mat,daf76126e823b2f83e4d14341f94003d7eec9f8102d46a8091174d24f968506e3782df07e1579193bf857f3a279d15fcaa05ffe66ba1fb435113488b0b7828bb,female,speech
9,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17899101.mp3,common_voice_cnh_17899101,Hakha Chin,1,1,192000,48,4,0.8398541666666667,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17899101_MS2024.mat,c75a62bf092eaf96cff8b8c5974c28b326d60fe5924365ab099b8eaab61de9f8120225c43ea4d29f506774ad79d7843ba393b771e0aa83d3dd0738ba598da249,,speech
10,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17923444.mp3,common_voice_cnh_17923444,Hakha Chin,1,1,192000,48,4,0.0787916666666666,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17923444_MS2024.mat,6b4f01bf4f68582d947aabefc282b14e529631c018232a70164b5b43728e709fe3dc9a93cc6a2053d6491534e643721f4fd7454c97568db6ffbf2dadbee71bd3,,speech
11,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17937865.mp3,common_voice_cnh_17937865,Hakha Chin,1,1,192000,48,4,0.4936041666666667,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17937865_MS2024.mat,bd533d36600917636394c8277b749e30da317734f6564af3e1ea0456ea5d01e0c6ae664c03bb0e1aa5ad7560b55e00610d8a0400292e641ae3b7ef8a406ce79c,female,speech
12,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17899984.mp3,common_voice_cnh_17899984,Hakha Chin,1,1,192000,48,4,0.6296041666666666,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17899984_MS2024.mat,9bf3035d8eba28328e9f00154d8145664188bee7001cd658a207070134eadda8fd0d8b84cf965336487ad8e5fc5416c2607bb212eed69f731828c589a084a505,,speech
13,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17923232.mp3,common_voice_cnh_17923232,Hakha Chin,1,1,192000,48,4,0.0670416666666666,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17923232_MS2024.mat,a0e99d398f36c265de3d8156213426a238a7e2ab8e9860239cffcd84a83dc1bd42f64e9539c63f773c10423b2579b536e803c18077de935fb630486ec239df32,,speech
14,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17895149.mp3,common_voice_cnh_17895149,Hakha Chin,1,1,192000,48,4,0.9860625,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17895149_MS2024.mat,82e58189964f13b8a97f4ea7140e719f44451271d3c7ed3615cecaaa85666e76ca26575313e5e6d29164d2d70a521219318871f4f1d2d125aeaae27dbcb740a1,,speech
15,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17923426.mp3,common_voice_cnh_17923426,Hakha Chin,1,1,192000,48,4,0.1468125,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17923426_MS2024.mat,6b4f01bf4f68582d947aabefc282b14e529631c018232a70164b5b43728e709fe3dc9a93cc6a2053d6491534e643721f4fd7454c97568db6ffbf2dadbee71bd3,,speech
16,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17903736.mp3,common_voice_cnh_17903736,Hakha Chin,1,1,192000,48,4,0.3929375,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17903736_MS2024.mat,01c7cdc854d0e71eb2460698584abdf3d7fe5853fdf7fb06d2313651d3023e82b4ed18535299c8dcdcc73e5261fc6822712a59e682551d191bd17f87709228c4,female,speech
17,data/speechCorp/MozillaCommonVoice/cnh/clips/common_voice_cnh_17896936.mp3,common_voice_cnh_17896936,Hakha Chin,1,1,192000,48,4,0.3848541666666666,4,MozillaCommonVoice/cnh,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cnh/common_voice_cnh_17896936_MS2024.mat,edd12d3b0edcf1769157df31c1d4c91972512ef232022aaf5a7d7f0ce65d7f8a9305136b58c480ce13f2034e943d1b45085d9765241d15e3fc8ac036f7d8cbf3,,speech
