,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_33426709.mp3,common_voice_cv_33426709,Chuvash,1,1,128000,32.0,4,0.31715625,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_33426709_MS2024.mat,df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418,male,speech
1,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_28466061.mp3,common_voice_cv_28466061,Chuvash,1,1,128000,32.0,4,0.26565625,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_28466061_MS2024.mat,57005deb0422ba156321136d6c3101b73443e4019bbbdbd966b1ac41665c666cd81184931ed176e984ee532f7291cf0bc0264a65d2e83c6596dc3ce08c944ac4,male,speech
2,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_17341505.mp3,common_voice_cv_17341505,Chuvash,1,1,176400,44.1,4,0.3464625850340136,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_17341505_MS2024.mat,8f21ae76bdc79c023e92df08e8b3af02b48c3579390945dac48a838970dff73fc7121ad3c516550d7b1f47aec54715087cefbe984865f563c822b5fd0e56b24e,,speech
3,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_27585330.mp3,common_voice_cv_27585330,Chuvash,1,1,128000,32.0,4,0.80925,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_27585330_MS2024.mat,a5c3affe24a77e21e98eb8b5e1b6aeb3599e37807d4ed0194a7f0366e78493fcc4c0de9c2e041af64ce844d5b6cc8a972f41df75ba97b35f60c13eaab0f10385,female,speech
4,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_23902203.mp3,common_voice_cv_23902203,Chuvash,1,1,192000,48.0,4,0.8850625,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_23902203_MS2024.mat,df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418,male,speech
5,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_18027343.mp3,common_voice_cv_18027343,Chuvash,1,1,192000,48.0,4,0.6425,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_18027343_MS2024.mat,d671834f547759a302d675c1eb2b6e63537d08b11724620f6fbf74828dd2fbdc76b4a91d2ff634b5e3641699847cf7cdd0d8d36bff4a3a4158c11d46f0174b5a,male,speech
6,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_27528483.mp3,common_voice_cv_27528483,Chuvash,1,1,128000,32.0,4,0.7999375,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_27528483_MS2024.mat,ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e,male,speech
7,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_24154427.mp3,common_voice_cv_24154427,Chuvash,1,1,128000,32.0,4,0.8325,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_24154427_MS2024.mat,dcf2fb9555f721459c8271073c4b650e8f8bfcbdef90b751b671989a87aa46bdc19d99b18012dff50acb712300f1cbf3bdd1e50510e0adfe5e1bb26c8c763ba6,female,speech
8,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_21506662.mp3,common_voice_cv_21506662,Chuvash,1,1,192000,48.0,4,0.6269791666666666,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_21506662_MS2024.mat,29530fb9060071c535c664f94138c761937b0a593cfa4c438e201dfb4219321bfd7d6f024a6b00740f39ae2e25ef4dba3bc03c9b93f20579aba798b2bdd8af06,male,speech
9,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_23907061.mp3,common_voice_cv_23907061,Chuvash,1,1,192000,48.0,4,0.8502916666666667,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_23907061_MS2024.mat,dcf2fb9555f721459c8271073c4b650e8f8bfcbdef90b751b671989a87aa46bdc19d99b18012dff50acb712300f1cbf3bdd1e50510e0adfe5e1bb26c8c763ba6,,speech
10,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_20800157.mp3,common_voice_cv_20800157,Chuvash,1,1,192000,48.0,4,0.4926458333333333,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_20800157_MS2024.mat,a5c3affe24a77e21e98eb8b5e1b6aeb3599e37807d4ed0194a7f0366e78493fcc4c0de9c2e041af64ce844d5b6cc8a972f41df75ba97b35f60c13eaab0f10385,female,speech
11,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_33742561.mp3,common_voice_cv_33742561,Chuvash,1,1,128000,32.0,4,0.87515625,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_33742561_MS2024.mat,a5c3affe24a77e21e98eb8b5e1b6aeb3599e37807d4ed0194a7f0366e78493fcc4c0de9c2e041af64ce844d5b6cc8a972f41df75ba97b35f60c13eaab0f10385,female,speech
12,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_27810271.mp3,common_voice_cv_27810271,Chuvash,1,1,128000,32.0,4,0.740625,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_27810271_MS2024.mat,ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e,male,speech
13,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_20975258.mp3,common_voice_cv_20975258,Chuvash,1,1,192000,48.0,4,0.7335208333333333,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_20975258_MS2024.mat,df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418,male,speech
14,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_27550312.mp3,common_voice_cv_27550312,Chuvash,1,1,128000,32.0,4,0.68834375,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_27550312_MS2024.mat,ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e,male,speech
15,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_27518508.mp3,common_voice_cv_27518508,Chuvash,1,1,128000,32.0,4,0.8263125,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_27518508_MS2024.mat,ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e,male,speech
16,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_20800160.mp3,common_voice_cv_20800160,Chuvash,1,1,192000,48.0,4,0.6178541666666667,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_20800160_MS2024.mat,a5c3affe24a77e21e98eb8b5e1b6aeb3599e37807d4ed0194a7f0366e78493fcc4c0de9c2e041af64ce844d5b6cc8a972f41df75ba97b35f60c13eaab0f10385,female,speech
17,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_21289543.mp3,common_voice_cv_21289543,Chuvash,1,1,192000,48.0,4,0.8724583333333333,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_21289543_MS2024.mat,df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418,male,speech
18,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_22965046.mp3,common_voice_cv_22965046,Chuvash,1,1,192000,48.0,4,0.5103125,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_22965046_MS2024.mat,a5c3affe24a77e21e98eb8b5e1b6aeb3599e37807d4ed0194a7f0366e78493fcc4c0de9c2e041af64ce844d5b6cc8a972f41df75ba97b35f60c13eaab0f10385,female,speech
19,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_22976466.mp3,common_voice_cv_22976466,Chuvash,1,1,192000,48.0,4,0.2791041666666666,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_22976466_MS2024.mat,ff80684a17f69de9a233cdc7bd9a6b7c84bec6e9d2f5eb0ef46e6da5231ed1a31f00d24e33afc6d9fb39763e328265775af7b15572736f3077d5d83c847c279e,male,speech
20,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_31259355.mp3,common_voice_cv_31259355,Chuvash,1,1,128000,32.0,4,0.92621875,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_31259355_MS2024.mat,df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418,male,speech
21,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_26914066.mp3,common_voice_cv_26914066,Chuvash,1,1,128000,32.0,4,0.69478125,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_26914066_MS2024.mat,df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418,male,speech
22,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_18025920.mp3,common_voice_cv_18025920,Chuvash,1,1,192000,48.0,4,0.3702916666666667,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_18025920_MS2024.mat,d671834f547759a302d675c1eb2b6e63537d08b11724620f6fbf74828dd2fbdc76b4a91d2ff634b5e3641699847cf7cdd0d8d36bff4a3a4158c11d46f0174b5a,male,speech
23,data/speechCorp/MozillaCommonVoice/cv/clips/common_voice_cv_20975025.mp3,common_voice_cv_20975025,Chuvash,1,1,192000,48.0,4,0.8148541666666667,4,MozillaCommonVoice/cv,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/cv/common_voice_cv_20975025_MS2024.mat,df9cc54fe31e1a1a4265f2a4766879bc412b104c44dfbe12f6bf1be5870efeef44c81eadfb0a749216bd553361e600ff0ae44622b24d610f29ab591b3a32a418,male,speech
