,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_25089066.mp3,common_voice_et_25089066,Estonian,1,1,128000,32.0,4,0.64540625,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_25089066_MS2024.mat,3814c9890b29c7131db1d9f6575de521bdb5344b35168fea40e7f0cd71b18c915df0e6bfd30b76463d58b0ec758ba391247818720e31566f8859d6365c0999a9,female,speech
1,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_20801240.mp3,common_voice_et_20801240,Estonian,1,1,192000,48.0,4,0.4314791666666667,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_20801240_MS2024.mat,509cb94a923ee6751ade904a01c130723cf7c48e1575cfa65a2dfe9746c1e3bafbc1743febc0c5f742c15c36ac4c6522957df633e4b0fd5265d8fe88ef14171b,male,speech
2,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_25336865.mp3,common_voice_et_25336865,Estonian,1,1,128000,32.0,4,0.41196875,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_25336865_MS2024.mat,3814c9890b29c7131db1d9f6575de521bdb5344b35168fea40e7f0cd71b18c915df0e6bfd30b76463d58b0ec758ba391247818720e31566f8859d6365c0999a9,,speech
3,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_24930286.mp3,common_voice_et_24930286,Estonian,1,1,128000,32.0,4,0.989625,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_24930286_MS2024.mat,141bcc6259c6b3e2ebac0da5e9504ff1b4b0b4ece40375c79785ae84db23634ece1f16a55ae52be18c3fca5ebd35441ee772a25d588a524374e793e50c5af510,female,speech
4,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_24894844.mp3,common_voice_et_24894844,Estonian,1,1,128000,32.0,4,0.6370625,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_24894844_MS2024.mat,d5186fab5e27c26fe9b705af41c715009fd9659858fed46be146625335a3ef582d6ffd09342115eb8cfd0d5e9b10fdec92d8f0609e515af86ee6cf95415c78e2,male,speech
5,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_38423645.mp3,common_voice_et_38423645,Estonian,1,1,128000,32.0,4,0.573625,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_38423645_MS2024.mat,47b4c411e9d51cfb9986e26449941796b84847201c5efc3d16330561215f5eadb6042edaf0049ba07fc9510fee3842c6179d1c2fd08609d5efbec6eed7f12ffe,male,speech
6,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_18316388.mp3,common_voice_et_18316388,Estonian,1,1,192000,48.0,4,0.753,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_18316388_MS2024.mat,f9051174355adf3745edb185d2733e9959a83212156328825286b1de48a038a1cccfdf0ce1c3cb27a49741c548db06b53ca4d995fdf88eb626081545aebbfd6e,male,speech
7,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_24928234.mp3,common_voice_et_24928234,Estonian,1,1,128000,32.0,4,0.3546875,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_24928234_MS2024.mat,2e6179855779ed68967605622336f9f6473bf03eab15608ab0610e0bc6d4d87ad63b296db9105552d7feefe7db6d1cf83e0f1d11eb9f24aebc521503ba1348c1,male,speech
8,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_18315251.mp3,common_voice_et_18315251,Estonian,1,1,192000,48.0,4,0.5217916666666667,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_18315251_MS2024.mat,a8c589373b556b84b051459250704cd6a9f944ec056e40d7c0c3bdff9c037db7051e34f595127fa463a51e187bb31dfe1d3c70d87092dad68dee4ba17c63569f,male,speech
9,data/speechCorp/MozillaCommonVoice/et/clips/common_voice_et_18177993.mp3,common_voice_et_18177993,Estonian,1,1,192000,48.0,4,0.61925,4,MozillaCommonVoice/et,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/et/common_voice_et_18177993_MS2024.mat,2d9756ce06cc5f71e1e00febfb368d395e360f0fe2b4ae8196db8865bb2708b15e7a1d13d6636d911a22700be3a5861c9807ca5b1bd3dab74bab3f8a7c98b35f,male,speech
