,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_19260192.mp3,common_voice_fa_19260192,Persian,1,1,192000,48.0,4,0.6871041666666666,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_19260192_MS2024.mat,0b79d235d59d1738780c7463da7de37bf7a8c46142da65d25bf7669f58ce5b93775e9a53507f02db936d0a7fc31f1a284c3fcae881c9278350a02b2dd428d98a,male
1,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_19054187.mp3,common_voice_fa_19054187,Persian,1,1,192000,48.0,4,0.46689583333333334,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_19054187_MS2024.mat,cdeaa82ace1418ac5dd5b612d955ba8949291632a124d75b23434539396f3a5cd8d844090abb0b1fb2d188d33eab1587eb01b289d468a4dbc7982b851129e6f2,male
2,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_28299203.mp3,common_voice_fa_28299203,Persian,1,1,128000,32.0,4,0.41534375,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_28299203_MS2024.mat,4329e41da19efc1d1bc4e0985768f162668c16738834967fca2b17c1b8e921938d17fbbe0f8365cb84780520e4f2edd1f955bff738dfb7848aede71ffda842a7,male
3,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_28802853.mp3,common_voice_fa_28802853,Persian,1,1,128000,32.0,4,0.480375,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_28802853_MS2024.mat,4329e41da19efc1d1bc4e0985768f162668c16738834967fca2b17c1b8e921938d17fbbe0f8365cb84780520e4f2edd1f955bff738dfb7848aede71ffda842a7,male
4,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_19435944.mp3,common_voice_fa_19435944,Persian,1,1,192000,48.0,4,0.8471458333333334,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_19435944_MS2024.mat,c7bce468b5cd7de2e1522b30214edb4bac69c6449080ef2bfc9593af82bd5fa118a01b53b11d1d1aaca7065b3407cf95f657a736d352ecef87746c1c6387a056,female
5,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_19042936.mp3,common_voice_fa_19042936,Persian,1,1,192000,48.0,4,0.6086875,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_19042936_MS2024.mat,0d358649ded3baf7f476eeb2ba44fc2cfc195824b0294fcb4a2059c4e6a2e6ab1aede4dd71f5df11fb4550d6db6ee9e45244180d9692ea897afb86cc0471caa0,male
6,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_19241938.mp3,common_voice_fa_19241938,Persian,1,1,192000,48.0,4,0.4098541666666667,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_19241938_MS2024.mat,fa52db9db7ee1573e9caca44f5029a41fe558a17ae9b3ff523f3ef97b81bad2e7fc720ff4d8ee0bfcd1fc9509dc79d2d759c60e8f8e684a82757f267a8e31712,male
7,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_20108538.mp3,common_voice_fa_20108538,Persian,1,1,192000,48.0,4,0.376625,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_20108538_MS2024.mat,cb9a12f7b626240f7d2a81750e611d2c584b1bb8703e2f97348bf6c805a1c65a6f6985c1cec2a45447729c297c894567aec05eafef7fc64f89fb15abaeca847d,male
8,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_20407326.mp3,common_voice_fa_20407326,Persian,1,1,192000,48.0,4,0.6177083333333333,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_20407326_MS2024.mat,c296540e5f5782d4ab8f069b2408de8489723f3a9b12c4ef02a176b474994b75a9ad432ec7f8fdf82b875a2bc503e4545af1e3738da1caac3acefd85585e1699,
9,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_29961079.mp3,common_voice_fa_29961079,Persian,1,1,128000,32.0,4,0.83415625,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_29961079_MS2024.mat,4329e41da19efc1d1bc4e0985768f162668c16738834967fca2b17c1b8e921938d17fbbe0f8365cb84780520e4f2edd1f955bff738dfb7848aede71ffda842a7,male
10,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_20136516.mp3,common_voice_fa_20136516,Persian,1,1,384000,48.0,8,0.043083333333333335,8,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_20136516_MS2024.mat,d592975b00c8ca33126019fb3114167ac72c39cc488f34e01347fac42c2f351536937e6e07cddc17ba4e53a027671b767ee418b2c8dd8a2928459ff7c322abfe,male
11,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_19251232.mp3,common_voice_fa_19251232,Persian,1,1,384000,48.0,8,0.9335416666666667,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_19251232_MS2024.mat,7f5da006f31a21cb7ee97771f63ae88ff28573db62244407a6ba00af68d0f15869af3093cbb4e6155fb993bad50584ba2e8482c98215ad2b5a879dd25be5d0a1,
12,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_18628713.mp3,common_voice_fa_18628713,Persian,1,1,192000,48.0,4,0.13489583333333333,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_18628713_MS2024.mat,6516da9043b7ec881c4926e4ba16910e92cb918fc8ad92775ba2b70f3ac8cb6c9609992fade2ae3d4d41b467836e9fd07183a0f08ddbba43eb9440ac1ad0590d,
13,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_20097345.mp3,common_voice_fa_20097345,Persian,1,1,192000,48.0,4,0.10108333333333333,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_20097345_MS2024.mat,045313dea664e9b5cfc4bd4b0211b1517740f736ca6204255180d0216644a3b23da079514e084f3562fb92e41f853d14c82bb8c8b9241aa190c7509133573655,male
14,data/speechCorp/MozillaCommonVoice/fa/clips/common_voice_fa_32433600.mp3,common_voice_fa_32433600,Persian,1,1,128000,32.0,4,0.4278125,4,MozillaCommonVoice/fa,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/fa/common_voice_fa_32433600_MS2024.mat,b66de0d6017a4a2a656a8fc6bbe710ad496d33ab529a464898af0bf7a255b806f063722a7e3c211860dbf4edbc58db8fa0881e31a9a2f3de5e135af2e88b322e,male
