,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_27531305.mp3,common_voice_gn_27531305,Guarani,1,1,128000,32,4,0.62328125,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_27531305_MS2024.mat,a4f85e91bdad8a054b1f2c15135cb5d82161b1f42cd00b6c6f0b7d3458d77134bf231e4fa7a50e5bfa20db3b4214087a0641e51c33db55aa55ca2bcd573b7eb3,
1,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_27522725.mp3,common_voice_gn_27522725,Guarani,1,1,128000,32,4,0.3185625,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_27522725_MS2024.mat,a4f85e91bdad8a054b1f2c15135cb5d82161b1f42cd00b6c6f0b7d3458d77134bf231e4fa7a50e5bfa20db3b4214087a0641e51c33db55aa55ca2bcd573b7eb3,
2,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_26378350.mp3,common_voice_gn_26378350,Guarani,1,1,128000,32,4,0.61921875,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_26378350_MS2024.mat,392c88536e58bbcc83d886628443d91d8c066c66194a47c721f3ed98624c786c2d63793b48f211ce3c028d62e250b1b64b05a703ec5cef20216a0e718f42fa7a,male
3,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_34394337.mp3,common_voice_gn_34394337,Guarani,1,1,128000,32,4,0.3288125,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_34394337_MS2024.mat,06ca3b22d3060995b3f4b7dd9a62eee53b8031c93cd4221342e19ed995913a9aaf1cd6fef18231d35504ea41a3f937bb2c7d31077f2baf63d0cd1aae855b7168,male
4,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_32377146.mp3,common_voice_gn_32377146,Guarani,1,1,128000,32,4,0.98696875,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_32377146_MS2024.mat,04378b60324e525f0183406cec1ccabe8a9d7ede5d8a20e50b4c420e4810a5d0a6d4de2df6e2e2fdfb1270be0244c9c8654f6dfb2c01852d2d7ec32eff3f33bd,female
5,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_26587356.mp3,common_voice_gn_26587356,Guarani,1,1,128000,32,4,0.69803125,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_26587356_MS2024.mat,392c88536e58bbcc83d886628443d91d8c066c66194a47c721f3ed98624c786c2d63793b48f211ce3c028d62e250b1b64b05a703ec5cef20216a0e718f42fa7a,male
6,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_27522712.mp3,common_voice_gn_27522712,Guarani,1,1,128000,32,4,0.953875,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_27522712_MS2024.mat,a4f85e91bdad8a054b1f2c15135cb5d82161b1f42cd00b6c6f0b7d3458d77134bf231e4fa7a50e5bfa20db3b4214087a0641e51c33db55aa55ca2bcd573b7eb3,
7,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_34394223.mp3,common_voice_gn_34394223,Guarani,1,1,128000,32,4,0.5709375,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_34394223_MS2024.mat,06ca3b22d3060995b3f4b7dd9a62eee53b8031c93cd4221342e19ed995913a9aaf1cd6fef18231d35504ea41a3f937bb2c7d31077f2baf63d0cd1aae855b7168,male
8,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_34150679.mp3,common_voice_gn_34150679,Guarani,1,1,128000,32,4,0.425875,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_34150679_MS2024.mat,06ca3b22d3060995b3f4b7dd9a62eee53b8031c93cd4221342e19ed995913a9aaf1cd6fef18231d35504ea41a3f937bb2c7d31077f2baf63d0cd1aae855b7168,male
9,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_34150433.mp3,common_voice_gn_34150433,Guarani,1,1,128000,32,4,0.57740625,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_34150433_MS2024.mat,06ca3b22d3060995b3f4b7dd9a62eee53b8031c93cd4221342e19ed995913a9aaf1cd6fef18231d35504ea41a3f937bb2c7d31077f2baf63d0cd1aae855b7168,male
10,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_27531226.mp3,common_voice_gn_27531226,Guarani,1,1,128000,32,4,0.89540625,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_27531226_MS2024.mat,a4f85e91bdad8a054b1f2c15135cb5d82161b1f42cd00b6c6f0b7d3458d77134bf231e4fa7a50e5bfa20db3b4214087a0641e51c33db55aa55ca2bcd573b7eb3,
11,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_26356498.mp3,common_voice_gn_26356498,Guarani,1,1,128000,32,4,0.97384375,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_26356498_MS2024.mat,392c88536e58bbcc83d886628443d91d8c066c66194a47c721f3ed98624c786c2d63793b48f211ce3c028d62e250b1b64b05a703ec5cef20216a0e718f42fa7a,male
12,data/speechCorp/MozillaCommonVoice/gn/clips/common_voice_gn_33949696.mp3,common_voice_gn_33949696,Guarani,1,1,128000,32,4,0.5003125,4,MozillaCommonVoice/gn,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/gn/common_voice_gn_33949696_MS2024.mat,06ca3b22d3060995b3f4b7dd9a62eee53b8031c93cd4221342e19ed995913a9aaf1cd6fef18231d35504ea41a3f937bb2c7d31077f2baf63d0cd1aae855b7168,male
