,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_26986130.mp3,common_voice_hi_26986130,Hindi,1,1,128000,32,4,0.90346875,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_26986130_MS2024.mat,d24af5ee15190d3fc14dfc4ee3c75c75fe66fb537d4c7cf94e0e7d489ba442240b112a68a9dcd921ed48aaf17649bacd187e913bf4f22c1471cdc0fd263e9aa7,male
1,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_26021896.mp3,common_voice_hi_26021896,Hindi,1,1,128000,32,4,0.6661875,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_26021896_MS2024.mat,0f018a99663f33afbb7d38aee281fb1afcfd07f9e7acd00383f604e1e17c38d6ed8adf1bd2ccbf927a52c5adefb8ac4b158ce27a7c2ed9581e71202eb302dfb3,
2,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_24026258.mp3,common_voice_hi_24026258,Hindi,1,1,128000,32,4,0.6684375,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_24026258_MS2024.mat,63293ff4cc67280b10da2df2fd2763db65ca8493af191e121605b45457373b9d2f7d073324125f2ec4d3d5aa138903f3532048b49083306757421a463dcad13b,male
3,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_25170240.mp3,common_voice_hi_25170240,Hindi,1,1,128000,32,4,0.62003125,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_25170240_MS2024.mat,c88824395561074e0eb0ebc1280d4866dbc29f01c026899e205a1db558ba1be8d683a10dc5e1f8117571ea0794f699ebe359e833d714ad66942a429a2112a5a6,
4,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_23849297.mp3,common_voice_hi_23849297,Hindi,1,1,192000,48,4,0.7929375,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_23849297_MS2024.mat,46f23ae11e8565e979749342e1097a77fe3ef574253f10323351763c97b22c07b42362b03c576fa1d45361cede36368bbd6b9325f1f93cd2b8ed161a560ece2a,male
5,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_27411742.mp3,common_voice_hi_27411742,Hindi,1,1,128000,32,4,0.99565625,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_27411742_MS2024.mat,5ed8ac2780bfa08239e0aaa23e691fbf20930452cfd1163db395388d3dbff09ffc862aedc9ce80763a39a782ecb2ad5f729198b4f8565adbfc50bb5327957cc2,
6,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_27509158.mp3,common_voice_hi_27509158,Hindi,1,1,128000,32,4,0.38021875,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_27509158_MS2024.mat,d5880664e0b201cf24b4972ea9890b801afe05af05cd4302d95952f06934198872328efbf6eb11bf51e169d4c62a0e8756088bbe001fc353a9b6d080ed9ee3dc,male
7,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_26351495.mp3,common_voice_hi_26351495,Hindi,1,1,128000,32,4,0.22128125,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_26351495_MS2024.mat,3c47037b539064a039337a1c897e88029bf7cfb906524864e55c38b90aa9efe57730742089a7f2a1b508952b6272c39cd50f7d701230bde9d0afdf4fefc05d8a,male
8,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_24359444.mp3,common_voice_hi_24359444,Hindi,1,1,128000,32,4,0.79596875,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_24359444_MS2024.mat,1605878cdc4bdeab0724827abc448ec019fcc59763e097294754173714e955fe80a28c12eed4a39a58f442138b886e755cd644efb115aa2599c6e50a20e63a74,female
9,data/speechCorp/MozillaCommonVoice/hi/clips/common_voice_hi_24228548.mp3,common_voice_hi_24228548,Hindi,1,1,128000,32,4,0.60240625,4,MozillaCommonVoice/hi,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/hi/common_voice_hi_24228548_MS2024.mat,ec293248c910c28091014fec13d47bb69cc84f0b265ad0536d7e39390f3de510ab879fa3c23797defe85d8c846a4e148c971e28da6a90a647a9bc37eb03362bc,male
