,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_25008559.mp3,common_voice_kk_25008559,Kazakh,1,1,128000,32,4,0.7575625,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_25008559_MS2024.mat,471e9a243ec4da721fe81318d6bba65046c898c826e0bbe3e1e6008239cb42b8d4e36556d75f782709c3fd749b6d89306434c9c8026df87fc42aeb5b9f6c3b4f,,speech
1,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_38975298.mp3,common_voice_kk_38975298,Kazakh,1,1,128000,32,4,0.62334375,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_38975298_MS2024.mat,f50107155b9d26c867806588a53fcd8574b1ddfa82c9021bbe02dfbc421052fcd1e506b573555a1cab37ef106f53c6513457f805621346cd50c50f528ad5c1f4,female,speech
2,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_38975974.mp3,common_voice_kk_38975974,Kazakh,1,1,128000,32,4,0.59284375,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_38975974_MS2024.mat,f50107155b9d26c867806588a53fcd8574b1ddfa82c9021bbe02dfbc421052fcd1e506b573555a1cab37ef106f53c6513457f805621346cd50c50f528ad5c1f4,female,speech
3,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_24992212.mp3,common_voice_kk_24992212,Kazakh,1,1,128000,32,4,0.55584375,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_24992212_MS2024.mat,29e455f1b464abff523572998dbe5f311a84a238c0da4934692642e7a9b774f365923898d4795b9749bb2637dffe761b7472bef23dcda9be989162ee926b16cc,,speech
4,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_35951387.mp3,common_voice_kk_35951387,Kazakh,1,1,128000,32,4,0.6549375,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_35951387_MS2024.mat,bfafb3450911f887d446481bce43626d3c30f99678d9cb9d9b8978d7873b98176b1269d3ecb0ee96cab1ea1b839f6effc9f66ffa01208b119c5e1a70d6442753,male,speech
5,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_30537681.mp3,common_voice_kk_30537681,Kazakh,1,1,128000,32,4,0.5841875,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_30537681_MS2024.mat,f5b7f97d047d7b132cd2f787b6f6c8293a716c9bcc2992fccd2c6732db80790bd2c0e2ab6052c75cf6117ff807892e6c112a84f4286fbc4c965572b4d8ac60ff,male,speech
6,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_24970308.mp3,common_voice_kk_24970308,Kazakh,1,1,128000,32,4,0.979625,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_24970308_MS2024.mat,20199da15014dfe04b75def683a516e1b8799217743b8bf73bc1752b0b65fd73ab631b072b5bc040534f6819c459d07e31503339a8e51672cb1e0039dceb3cd9,male,speech
7,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_38969729.mp3,common_voice_kk_38969729,Kazakh,1,1,128000,32,4,0.8713125,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_38969729_MS2024.mat,4342a5ca5313d359c18de8aa415df4c0c883040777d99466ee5137112c28920dce41a46c55a306c2bf655b1e7624f29afbe7aee8a67b5d777d66c2d41db1f46d,,speech
8,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_25029362.mp3,common_voice_kk_25029362,Kazakh,1,1,128000,32,4,0.92525,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_25029362_MS2024.mat,a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,male,speech
9,data/speechCorp/MozillaCommonVoice/kk/clips/common_voice_kk_38975087.mp3,common_voice_kk_38975087,Kazakh,1,1,128000,32,4,0.76971875,4,MozillaCommonVoice/kk,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kk/common_voice_kk_38975087_MS2024.mat,f50107155b9d26c867806588a53fcd8574b1ddfa82c9021bbe02dfbc421052fcd1e506b573555a1cab37ef106f53c6513457f805621346cd50c50f528ad5c1f4,female,speech
