,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_24902399.mp3,common_voice_kmr_24902399,Kurmanji Kurdish,1,1,128000,32,4,0.5525,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_24902399_MS2024.mat,e4869ada5cecd3104efaf64c7b5287275c9b944164b35a813b992788047f1344f2ef01f2be8a5c60473a81f78b4e3269343d171f5c1cae3d0632fd5949b395b2,male,speech
1,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_24859214.mp3,common_voice_kmr_24859214,Kurmanji Kurdish,1,1,128000,32,4,0.6501875,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_24859214_MS2024.mat,3b51a7fa8598bcb935ee2591974b75a84514823f81305d2171ea50bb333c1af63f44de4bdd16fea70a2e283813c5fc9e99957b5b960e1a64847943e64b0621ed,,speech
2,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_24898299.mp3,common_voice_kmr_24898299,Kurmanji Kurdish,1,1,128000,32,4,0.847,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_24898299_MS2024.mat,08cbb5d9e19f10ee6237ac5d599c700b598323c7c929afddffa6ee03f3aa38393de20be4e4347525e1e6317f7fe4303d08d70be8a1f9a424b4724f0c098a7ed4,female,speech
3,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_25396717.mp3,common_voice_kmr_25396717,Kurmanji Kurdish,1,1,128000,32,4,0.6464375,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_25396717_MS2024.mat,85084e5a3d8d8c7950d4c6cd07f8d6251c679526bcd7ebade53274da5194b3e7fe4e6c1d19d7ae8fba8f6788a46dc1e0c63de5bb1107d2d00e930f2dcadfd9a5,,speech
4,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_25619958.mp3,common_voice_kmr_25619958,Kurmanji Kurdish,1,1,128000,32,4,0.796625,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_25619958_MS2024.mat,e017d8a79a88825ffdbe2d9a968954f7a687dd4fea4da7347cf95529b49a31f2b55413805585877432dee942c4ab6cefa576e7f7c35e6cf88e8625603154f066,,speech
5,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_34940511.mp3,common_voice_kmr_34940511,Kurmanji Kurdish,1,1,128000,32,4,0.58946875,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_34940511_MS2024.mat,e4869ada5cecd3104efaf64c7b5287275c9b944164b35a813b992788047f1344f2ef01f2be8a5c60473a81f78b4e3269343d171f5c1cae3d0632fd5949b395b2,male,speech
6,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_35092315.mp3,common_voice_kmr_35092315,Kurmanji Kurdish,1,1,128000,32,4,0.72825,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_35092315_MS2024.mat,1baf64fda99436d1382b3f9334ebc4a53c46894ad4fbdac155e77daf7714f446e23bad9339154f379d40a585200e347d6944dd074b8d8a152dd5c8f0ae5c9e68,,speech
7,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_25294007.mp3,common_voice_kmr_25294007,Kurmanji Kurdish,1,1,128000,32,4,0.586,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_25294007_MS2024.mat,345e5b000b4acd4417cbc26ffc691464a06cfa4cb969339c517942d7b054ea2b4b5c22f0c9e9c4f67e545ce87d9c2bda4d4fc23a1b50bd964c3598a784a6f75e,,speech
8,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_24925888.mp3,common_voice_kmr_24925888,Kurmanji Kurdish,1,1,128000,32,4,0.53859375,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_24925888_MS2024.mat,339b73f76ca62264fff511406d93f2d64a636b57cd404dcd95208b43dc5ae084faac9251d206a15e90b234ff204acbfe36e6b9f3fb101309f6e3429fe5e7f8a8,male,speech
9,data/speechCorp/MozillaCommonVoice/kmr/clips/common_voice_kmr_24912893.mp3,common_voice_kmr_24912893,Kurmanji Kurdish,1,1,128000,32,4,0.7426875,4,MozillaCommonVoice/kmr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/kmr/common_voice_kmr_24912893_MS2024.mat,1a3c680e9d9a3765df709d9c536781a11ef9cf680664b36498bbe4c01b031051aa9ed80b0bc4dfa29efba15ea74fabd6be1a4b7c172a15ecd9a7878bb10fd4b1,male,speech
