,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38662028.mp3,common_voice_ltg_38662028,Latgalian,1,1,128000,32,4,0.7478125,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38662028_MS2024.mat,886bdaf7b35daa372d431c0d17501ef467708d4bdad43f09847c47b09b679ec847047b33b28949fc1481a50888f8e9b20d9e73b3b669c489ce05e7bbbf9b6283,,speech
1,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38592318.mp3,common_voice_ltg_38592318,Latgalian,1,1,128000,32,4,0.49084375,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38592318_MS2024.mat,4c2ca765239d590256ceaeecb4e86be33cd1d3d83003f672f25b65b1fc0e74a9955c2b923e59a74717de11b35466a97fa7d526d7ab4922b1775fb5d008393a9a,,speech
2,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38642610.mp3,common_voice_ltg_38642610,Latgalian,1,1,128000,32,4,0.74659375,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38642610_MS2024.mat,411c0398598be9fdea47ac9e21f7714bb7010a7390de99931ea33d351707f0c0cc21802a839459f0e39efbf977829136f927746e65384cbd5a22262105ad1b07,female,speech
3,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38696897.mp3,common_voice_ltg_38696897,Latgalian,1,1,128000,32,4,0.3835625,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38696897_MS2024.mat,e7add8a4206b024283062af88ab064ef1873d132e2e7dc6035614e4b4a4addceab2ab504c0a57a0b77c11bcfcbdada79f783cf93b2455b042e116c7c420390a8,,speech
4,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38662262.mp3,common_voice_ltg_38662262,Latgalian,1,1,128000,32,4,0.4860625,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38662262_MS2024.mat,886bdaf7b35daa372d431c0d17501ef467708d4bdad43f09847c47b09b679ec847047b33b28949fc1481a50888f8e9b20d9e73b3b669c489ce05e7bbbf9b6283,,speech
5,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38595797.mp3,common_voice_ltg_38595797,Latgalian,1,1,128000,32,4,0.55346875,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38595797_MS2024.mat,2fddb9f32c3d525f62c68f5c8c7ad9e5b42afd2438683b967aeb34211a03909d529f2e6fcb7582dae3a4218f2bf93ad748c6d9098776f7c393696d4b208d3bd2,female,speech
6,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38693353.mp3,common_voice_ltg_38693353,Latgalian,1,1,128000,32,4,0.87575,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38693353_MS2024.mat,14167731eb5835c8e9f7b5bc4335b3ec9fe53ce13d51f428e56584907adbfe97b00cebda3b203834a5be780b219c12aa460aee69ec78f3ed701c47ab4e3bfc16,,speech
7,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38661857.mp3,common_voice_ltg_38661857,Latgalian,1,1,128000,32,4,0.94046875,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38661857_MS2024.mat,886bdaf7b35daa372d431c0d17501ef467708d4bdad43f09847c47b09b679ec847047b33b28949fc1481a50888f8e9b20d9e73b3b669c489ce05e7bbbf9b6283,,speech
8,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38607569.mp3,common_voice_ltg_38607569,Latgalian,1,1,128000,32,4,0.77440625,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38607569_MS2024.mat,b5763d871882779ef81955df01aba4508e3b8efcabfe53315baf5f7db51b9fab6aa6efb50c4f84568f244eed178aaf5283ebd1724afe6adef00a55887cdc4931,male,speech
9,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38652911.mp3,common_voice_ltg_38652911,Latgalian,1,1,128000,32,4,0.59053125,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38652911_MS2024.mat,c6c520d0711039d705a0ad3fc835698bb63a7da30bc0bb8f595ff7e83bfa4e8c6a96576a1d2603403a0d738a2316f135c7488edd35aff0c33c17289d4afd61cc,,speech
10,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38656283.mp3,common_voice_ltg_38656283,Latgalian,1,1,128000,32,4,0.3374375,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38656283_MS2024.mat,cb07d781da89d6a623a37c56addb82b9dfc8fd7ced03398deafe42f5e53bb8e4ca4db93823feea395e218031d43fcd8b12605535ce6a36202ff4f02fb74d3368,female,speech
11,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38607637.mp3,common_voice_ltg_38607637,Latgalian,1,1,128000,32,4,0.58171875,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38607637_MS2024.mat,cb07d781da89d6a623a37c56addb82b9dfc8fd7ced03398deafe42f5e53bb8e4ca4db93823feea395e218031d43fcd8b12605535ce6a36202ff4f02fb74d3368,female,speech
12,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38698180.mp3,common_voice_ltg_38698180,Latgalian,1,1,256000,32,8,0.51334375,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38698180_MS2024.mat,cca5126638a700df61cc0d8468ed3988083016dd0028bf4615f933071acc4daea58f3622ad02de29feaf4a91f00a1472863fa9bc7bbeb015bea409b8eb2b14d4,female,speech
13,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38693270.mp3,common_voice_ltg_38693270,Latgalian,1,1,128000,32,4,0.81653125,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38693270_MS2024.mat,14167731eb5835c8e9f7b5bc4335b3ec9fe53ce13d51f428e56584907adbfe97b00cebda3b203834a5be780b219c12aa460aee69ec78f3ed701c47ab4e3bfc16,,speech
14,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38646018.mp3,common_voice_ltg_38646018,Latgalian,1,1,128000,32,4,0.60475,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38646018_MS2024.mat,ccc91f23f30102b0515d890236975f3c890cbf924c704e88e7097e0472c9a219a2178e492987ad77ee0825bea2d6bee2da5359c05024bbdd86508e7cb690d257,,speech
15,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38759956.mp3,common_voice_ltg_38759956,Latgalian,1,1,256000,32,8,0.82228125,8,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38759956_MS2024.mat,5939a6511ed81b062af2990c874bec28e679a3cb35994f3cb0d419c8f8ea29e8ce08e2f11e103f5ba59158c3ff56285d1933ce3d760c5013cf36a8e212ba1d65,female,speech
16,data/speechCorp/MozillaCommonVoice/ltg/clips/common_voice_ltg_38678763.mp3,common_voice_ltg_38678763,Latgalian,1,1,128000,32,4,0.80075,4,MozillaCommonVoice/ltg,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ltg/common_voice_ltg_38678763_MS2024.mat,14167731eb5835c8e9f7b5bc4335b3ec9fe53ce13d51f428e56584907adbfe97b00cebda3b203834a5be780b219c12aa460aee69ec78f3ed701c47ab4e3bfc16,,speech
