,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21232781.mp3,common_voice_mt_21232781,Maltese,1,1,192000,48,4,0.5963958333333333,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21232781_MS2024.mat,2f42a5ee51d58872eba7741a35c084bcbddcc048f35715069fbb261386213ab949709a8d71967e1e35a2d683ec9c472ac8df82fba76238c9647a9638ea9ede19,female,speech
1,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21279042.mp3,common_voice_mt_21279042,Maltese,1,1,192000,48,4,0.8219583333333333,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21279042_MS2024.mat,619b98b789395bcae51bf9ba227af94d6370889103f40f16777ca0ab99b9067c5f45f6b4b94865d08967791632682ddaf34e464f7a36e50c79c7b7e829f53bce,,speech
2,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21388928.mp3,common_voice_mt_21388928,Maltese,1,1,192000,48,4,0.2815833333333333,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21388928_MS2024.mat,013358357c251280edcdc585291df70be4d52c209c3d3961868b1cce3148560c964a8a7a1a42f5a1c211d43615373577aee94eb88183d4fb5a4b09f73468a4f7,female,speech
3,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21386649.mp3,common_voice_mt_21386649,Maltese,1,1,192000,48,4,0.9662083333333332,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21386649_MS2024.mat,0929c64d41145b19b4fbed107d17a309c3c0c3f4152e0a6756811e499425c104d4c9f57a4f7274b6560fbb8031592838da99fb43891e6eec366f98bfa179faf1,,speech
4,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21172843.mp3,common_voice_mt_21172843,Maltese,1,1,192000,48,4,0.6028541666666667,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21172843_MS2024.mat,f2ce6f0028a1e5419eba9929f998b24a9030ab797841ab1e2faa1d17cecaf583805375f42057bc06661ceeef1cca543579d83e2a0e2ba5e9be9274ac3c5f0428,female,speech
5,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21446939.mp3,common_voice_mt_21446939,Maltese,1,1,192000,48,4,0.427875,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21446939_MS2024.mat,013358357c251280edcdc585291df70be4d52c209c3d3961868b1cce3148560c964a8a7a1a42f5a1c211d43615373577aee94eb88183d4fb5a4b09f73468a4f7,female,speech
6,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21384935.mp3,common_voice_mt_21384935,Maltese,1,1,192000,48,4,0.7784375,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21384935_MS2024.mat,97204c3bd36562221e4ef5a514c980be750a9fe907c776994f5aaca809e74eb9df2e1e5970fff6f6cc48356899764fb8431431a100754910780d3fe04b59e928,,speech
7,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_22764371.mp3,common_voice_mt_22764371,Maltese,1,1,192000,48,4,0.7431875,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_22764371_MS2024.mat,589ddf2909dcbc71468f7f0e1e06ff11b86e1d2f91a0ea02b41b69764adc5cd481967731b4f0524ba62a729b586027b38622047cb86beaac3ac28213266ec4a3,,speech
8,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21241482.mp3,common_voice_mt_21241482,Maltese,1,1,192000,48,4,0.6448958333333333,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21241482_MS2024.mat,563513ecc42aad8c7973d6bec6e446134833d01a8ca8e5e7be079cc68c50731b87d60f7e38b45ab700f09379a5cd24b80c0a453ce196735c63a645d797c1cffb,female,speech
9,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21369446.mp3,common_voice_mt_21369446,Maltese,1,1,192000,48,4,0.82175,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21369446_MS2024.mat,467547c6aa369df0ee7bff6f5107ca9fbb271012b23bbf8604d11fefdcea14debbf17a5168a4998e02c90f371968e6faa96056ed9c9c66431e3754384ef93e0b,male,speech
10,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21407874.mp3,common_voice_mt_21407874,Maltese,1,1,192000,48,4,0.467,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21407874_MS2024.mat,013358357c251280edcdc585291df70be4d52c209c3d3961868b1cce3148560c964a8a7a1a42f5a1c211d43615373577aee94eb88183d4fb5a4b09f73468a4f7,female,speech
11,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21209298.mp3,common_voice_mt_21209298,Maltese,1,1,192000,48,4,0.257375,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21209298_MS2024.mat,f81eb77a377b1986ccdc39f7ce798a8962d323b7f5a273e679630e9ea0157c72427953cbcc55ea0f85f41b9b8233f8b5bfd95f7eb3996826c2ae371876739f6d,male,speech
12,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21374865.mp3,common_voice_mt_21374865,Maltese,1,1,192000,48,4,0.4552291666666667,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21374865_MS2024.mat,a64933b68b3ba1075a101d2b6134a596b281e69049ca6df15d13cbb1732d79ba3c01b9a5fe2c9f09108366b3c67d75987176a894b03e484462d76a3230bd4adb,female,speech
13,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21317226.mp3,common_voice_mt_21317226,Maltese,1,1,192000,48,4,0.5422708333333334,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21317226_MS2024.mat,9a878c0e1dc99dbb91f6039c58d0dd810859908f2defc3d8a9d08d28dc7e713f946f6e883f6a8dd97bdbe53947d9b4cd349b9b7eb9981d522a9ab5850dd407ab,male,speech
14,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21175042.mp3,common_voice_mt_21175042,Maltese,1,1,192000,48,4,0.7588125,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21175042_MS2024.mat,4332fb055a123b05f9cba537530f0c8df2eb9ef022360dbc2b60d36102cb5c678e8c8cdb6b4e18ccf248bfeb6e82b81569ab225a6a4f2c8e7fade8a45564d9cd,female,speech
15,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21376312.mp3,common_voice_mt_21376312,Maltese,1,1,192000,48,4,0.7177291666666666,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21376312_MS2024.mat,013358357c251280edcdc585291df70be4d52c209c3d3961868b1cce3148560c964a8a7a1a42f5a1c211d43615373577aee94eb88183d4fb5a4b09f73468a4f7,female,speech
16,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21394161.mp3,common_voice_mt_21394161,Maltese,1,1,192000,48,4,0.6672083333333333,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21394161_MS2024.mat,467547c6aa369df0ee7bff6f5107ca9fbb271012b23bbf8604d11fefdcea14debbf17a5168a4998e02c90f371968e6faa96056ed9c9c66431e3754384ef93e0b,male,speech
17,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21442388.mp3,common_voice_mt_21442388,Maltese,1,1,192000,48,4,0.86525,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21442388_MS2024.mat,ae2b1de64c36275e47e15b5183b26198c058a2b0934c569fe5c984ec777170eca8999d7e067ddd96b249af1deb11f2ded0bb3fbda3a682febb20022cd49e2a24,,speech
18,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21261875.mp3,common_voice_mt_21261875,Maltese,1,1,192000,48,4,0.4099166666666666,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21261875_MS2024.mat,9933026be89f2a8311558c51ae4e3ef291a3e03c6f02bd26e2608674b65c41b42f5c31dc18c39ac106cbbde1fd86c611945f643804187ddbcbb5cef9420d8c17,,speech
19,data/speechCorp/MozillaCommonVoice/mt/clips/common_voice_mt_21434932.mp3,common_voice_mt_21434932,Maltese,1,1,192000,48,4,0.7597291666666667,4,MozillaCommonVoice/mt,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/mt/common_voice_mt_21434932_MS2024.mat,1613e388fe2e5264dc51238580be0624221974d9345faba11eaf909b72669bbb8f1f6c7842562e71409d39245078bd18aee848b108663e446b79291fcc81981c,,speech
