,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_32396002.mp3,common_voice_nan-tw_32396002,Taiwanese,1,1,128000,32,4,0.472125,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_32396002_MS2024.mat,5928b2d04beeb23ebb2ae4d79e75aecf616004c3eef686ba33c01df145382e9c890841474eaec8078cec19dd46baf4a13e271a2b3d12397e25add0083e9bc1cd,female,speech
1,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_32105009.mp3,common_voice_nan-tw_32105009,Taiwanese,1,1,128000,32,4,0.63646875,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_32105009_MS2024.mat,d9c9a808360c052d2cd3c2478b8e39a48e0acc0d4d7452ba2d70f5c1149af9f6ca263d45a03fdc819ff28a9302b1d640c00ccc836cbc1c90044f9e7fa6be3b2c,male,speech
2,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_32348385.mp3,common_voice_nan-tw_32348385,Taiwanese,1,1,128000,32,4,0.46790625,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_32348385_MS2024.mat,2507891e3095276a01bc63e92275fec617b51ea29e8cc022f603b80d868a3e8f8417b992db2d50f20128ffe1cd12d6997694fe1316087123a822e6e0a5935ad7,female,speech
3,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_31218180.mp3,common_voice_nan-tw_31218180,Taiwanese,1,1,128000,32,4,0.55290625,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_31218180_MS2024.mat,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,other,speech
4,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_32158688.mp3,common_voice_nan-tw_32158688,Taiwanese,1,1,128000,32,4,0.599625,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_32158688_MS2024.mat,8c4a30530366c24080fe985b3a38959b60d594c29d822d780a8ff483f18f8bb8410b1149fa893d0c1df74c2b29ad19471caaf080dcea4ffa9a1bc4fea7e7625a,male,speech
5,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_31082176.mp3,common_voice_nan-tw_31082176,Taiwanese,1,1,128000,32,4,0.73584375,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_31082176_MS2024.mat,ecc8736a3316c2a59890037dd823a58f03bbd96bfddf7fe1bd4954bbd9d1832c37f4248ef9fb022840d12c88380f5946e9e193152a7333ccd855b243810df389,male,speech
6,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_31212793.mp3,common_voice_nan-tw_31212793,Taiwanese,1,1,128000,32,4,0.82071875,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_31212793_MS2024.mat,ecc8736a3316c2a59890037dd823a58f03bbd96bfddf7fe1bd4954bbd9d1832c37f4248ef9fb022840d12c88380f5946e9e193152a7333ccd855b243810df389,male,speech
7,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_32288448.mp3,common_voice_nan-tw_32288448,Taiwanese,1,1,128000,32,4,0.57878125,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_32288448_MS2024.mat,12062cf5daf2fe1a7a9ff96c79e6681d2cc12748ad7f72328d7dc343279584bd20f21c082e39d586869dd282b31357deac7841ad17840e362891530785f9e8ce,,speech
8,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_31112679.mp3,common_voice_nan-tw_31112679,Taiwanese,1,1,256000,32,8,0.833625,8,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_31112679_MS2024.mat,6ec262e6fbdc0c017e41e95b932aeadf5c618584621b0846a3ae44703f3f7f7a5eec1eb20be8b7409fdaf40a2528cd9996638368d3bc3f343b98d26e63bb68f2,,speech
9,data/speechCorp/MozillaCommonVoice/nan-tw/clips/common_voice_nan-tw_32169749.mp3,common_voice_nan-tw_32169749,Taiwanese,1,1,128000,32,4,0.56196875,4,MozillaCommonVoice/nan-tw,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/nan-tw/common_voice_nan-tw_32169749_MS2024.mat,7f33d44897348d0b72c2372c9af55e4b49a214f2c806ad10be93f2bdf89cae765fa66883bdca60331106c4189fe3474f65e1724ae554c193808c59be674bd703,male,speech
