,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_38115852.mp3,common_voice_tr_38115852,Turkish,1,1,128000,32.0,4,0.923375,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_38115852_MS2024.mat,ca179eb54e4e584d30587ba3c6c1d4de7d9082d649113d481d308f3e7d858e0a1df21d9591f9c613928b1e122aa7f54535d0f0e0c1380d87d8017844e6e73ea2,male,speech
1,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_30401946.mp3,common_voice_tr_30401946,Turkish,1,1,128000,32.0,4,0.65921875,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_30401946_MS2024.mat,6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205,,speech
2,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_32881986.mp3,common_voice_tr_32881986,Turkish,1,1,128000,32.0,4,0.90546875,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_32881986_MS2024.mat,6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205,,speech
3,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_38119394.mp3,common_voice_tr_38119394,Turkish,1,1,128000,32.0,4,0.80534375,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_38119394_MS2024.mat,6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205,female,speech
4,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_37986308.mp3,common_voice_tr_37986308,Turkish,1,1,128000,32.0,4,0.84578125,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_37986308_MS2024.mat,6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205,female,speech
5,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_38264430.mp3,common_voice_tr_38264430,Turkish,1,1,128000,32.0,4,0.64484375,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_38264430_MS2024.mat,6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205,female,speech
6,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_32954859.mp3,common_voice_tr_32954859,Turkish,1,1,128000,32.0,4,0.995625,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_32954859_MS2024.mat,ba25f19f22267b1f863cef586f17252a9067bc0ecb3d63dd7626fbce7014a16412dd64d5404d34505c0c90635adbc3cb2d830d77291a4db194e5abad91160957,female,speech
7,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_24978192.mp3,common_voice_tr_24978192,Turkish,1,1,128000,32.0,4,0.32584375,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_24978192_MS2024.mat,034147f88a00459d425b579d8db567b5eaff5847348edd9141fc68dcb2f588cb24844ec945bd3670253689d83a749a43fa5aed2fc36ca372365d39509435282f,,speech
8,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_19319858.mp3,common_voice_tr_19319858,Turkish,1,1,192000,48.0,4,0.9614375,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_19319858_MS2024.mat,94c71f5af8e0dc3a94075137a518bb5fbf75c4818c2018610c6cefc0fcd62a3f2543727e74b0472683f11edd72d2032700479aaccc112c14f88395e5d3a1febc,male,speech
9,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_36402638.mp3,common_voice_tr_36402638,Turkish,1,1,128000,32.0,4,0.50690625,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_36402638_MS2024.mat,bf902cdb6f28c97d0e7d35b8cac725678199a5af26b96f39442152f545d123c81f7a62ec3294ca0a3d9a3fcf59b1df9c7df3f3bfa2e9b974fc77a782043d1170,,speech
10,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_37021142.mp3,common_voice_tr_37021142,Turkish,1,1,128000,32.0,4,0.8989375,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_37021142_MS2024.mat,fda5b87b7c06b15aedd7b1bf15f685684aed1a492128ba858279ab8f2e97cfbfdf1002a4ae50c78053335484d75cc612d0c02755ab50c03224e577081efaba1d,,speech
11,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_31503619.mp3,common_voice_tr_31503619,Turkish,1,1,128000,32.0,4,0.65684375,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_31503619_MS2024.mat,ca179eb54e4e584d30587ba3c6c1d4de7d9082d649113d481d308f3e7d858e0a1df21d9591f9c613928b1e122aa7f54535d0f0e0c1380d87d8017844e6e73ea2,male,speech
12,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_26529344.mp3,common_voice_tr_26529344,Turkish,1,1,128000,32.0,4,0.36928125,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_26529344_MS2024.mat,4ea7534da9594c537caa422c93f0fc2e0fa0caaf75be3ae768de1369bb06765f246aa51e9161b7f0a9f4e21dffb1ceddfe27be1c81bcfed41343d5c3dc5d69d1,,speech
13,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_32960768.mp3,common_voice_tr_32960768,Turkish,1,1,128000,32.0,4,0.59646875,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_32960768_MS2024.mat,6cf4dea5df1dfe5dc5d7bacdb6da105b9e48e01fd0f069dbaf0ad906a7c5d78032194a3a9384e8589b93c58a04a12f676669f4c4501e52cee652f331b72b9205,female,speech
14,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_19291488.mp3,common_voice_tr_19291488,Turkish,1,1,192000,48.0,4,0.761875,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_19291488_MS2024.mat,94c71f5af8e0dc3a94075137a518bb5fbf75c4818c2018610c6cefc0fcd62a3f2543727e74b0472683f11edd72d2032700479aaccc112c14f88395e5d3a1febc,male,speech
15,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_30683178.mp3,common_voice_tr_30683178,Turkish,1,1,256000,32.0,8,0.65203125,8,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_30683178_MS2024.mat,35e214301096dfa423328ef225a5bdd56113b2b541eae34cce17fbfd5b46619771dabd08f506d3671d0953b3fdf56c1cac26c09da43ce748e3e24a52d52ea841,,speech
16,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_25359060.mp3,common_voice_tr_25359060,Turkish,1,1,128000,32.0,4,0.6748125,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_25359060_MS2024.mat,0129f03a0e83c1a7bb6c4b805f0044e58ac3c477cf37e752faf27749517603672f6ae9e83077840317a0dd8d1f1162ac5f24dc65524cc3bb8c3cb01276680e1f,male,speech
17,data/speechCorp/MozillaCommonVoice/tr/clips/common_voice_tr_38848457.mp3,common_voice_tr_38848457,Turkish,1,1,128000,32.0,4,0.4588125,4,MozillaCommonVoice/tr,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/tr/common_voice_tr_38848457_MS2024.mat,509e62ded4e7e780266e54e2bb68c57f9311ded1ab57def015ff9a60de6d2efbc23adcd71e845d4c501938614bd5290d248a6202c3e7c5f7543af861b57fdcf9,female,speech
