,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31935906.mp3,common_voice_ur_31935906,Urdu,1,1,128000,32,4,0.50425,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31935906_MS2024.mat,e802a76eef907008fef02f6a94d77a6cebd0e51ba8e7862cb3cb6be40e565d2fa5d1562038ae2d8df4223f35722bd17cb9ab965215cb1034a602b23ed8cbeff9,female,speech
1,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31864794.mp3,common_voice_ur_31864794,Urdu,1,1,128000,32,4,0.5278125,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31864794_MS2024.mat,a898a1f13bc08090510861080e00467da61b121893cd415cd78743f404a3895c076b74ef14fc53370dabf10ba92e75477744bdce56e05931063ac55654d54300,male,speech
2,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31897202.mp3,common_voice_ur_31897202,Urdu,1,1,128000,32,4,0.40546875,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31897202_MS2024.mat,520f3433ef0ddef52ff20cb32c1c546c57de8997d2539e893fd063a553b47dacd9d08f9a259b944e574ba8644584c35b9c333b6df0a3af3c1221f3ae103a7c63,male,speech
3,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31978692.mp3,common_voice_ur_31978692,Urdu,1,1,128000,32,4,0.73784375,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31978692_MS2024.mat,122ff1374e1a5ca90634619803aef719a52731af110a923bff3f82aed1cbc80f1aecb38832bc159a62e190bc7eb227d1265556fac8dc474638ed9d824d05f632,male,speech
4,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31953438.mp3,common_voice_ur_31953438,Urdu,1,1,128000,32,4,0.60009375,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31953438_MS2024.mat,520f3433ef0ddef52ff20cb32c1c546c57de8997d2539e893fd063a553b47dacd9d08f9a259b944e574ba8644584c35b9c333b6df0a3af3c1221f3ae103a7c63,male,speech
5,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31920571.mp3,common_voice_ur_31920571,Urdu,1,1,128000,32,4,0.54653125,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31920571_MS2024.mat,dae060f1a6324adf4ade82c5ec8813a5d99fe4e2734ed1463fe5e3041cb391cdc3274b30297f415719ebd60dfb5c7faf3f7ffdacaf1a87b8a5e1b045ed5970cc,female,speech
6,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31843769.mp3,common_voice_ur_31843769,Urdu,1,1,128000,32,4,0.68715625,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31843769_MS2024.mat,9a2de47f11bea8ec48b7bf5b03f2ca13e81cdba7db0eb85c1378f7cc13ece0a689209a22bda45ed7b4c3bf8a6cf44738228ef7cd2d547b59e0201aa4e4f204e5,male,speech
7,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31982453.mp3,common_voice_ur_31982453,Urdu,1,1,128000,32,4,0.7078125,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31982453_MS2024.mat,122ff1374e1a5ca90634619803aef719a52731af110a923bff3f82aed1cbc80f1aecb38832bc159a62e190bc7eb227d1265556fac8dc474638ed9d824d05f632,male,speech
8,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_32017024.mp3,common_voice_ur_32017024,Urdu,1,1,128000,32,4,0.54609375,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_32017024_MS2024.mat,a2632798f1f8a4e302c3037914ca7341b7c843cdd3c135394654f5f7652d0367fe76846ef476a7039b0ebb224ac007ad38e5f7f68bb0b560f7446d41394ed4fa,male,speech
9,data/speechCorp/MozillaCommonVoice/ur/clips/common_voice_ur_31830620.mp3,common_voice_ur_31830620,Urdu,1,1,128000,32,4,0.57553125,4,MozillaCommonVoice/ur,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/ur/common_voice_ur_31830620_MS2024.mat,d523c7930ea8c6479361a047a3f0494992225fb2b8fc8ad03899279413aacde64e470bd90e6d15bedf7d0f6b2f60c026bd6a9b0f828b33c48f7f811675a8aaf4,male,speech
