,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29316391.mp3,common_voice_uz_29316391,Uzbek,1,1,128000,32,4,0.7315625,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29316391_MS2024.mat,2a4eaf6e15cc7937c56ba742c2a29ad15f00f555ae20fd1efbbaadb944b991baf5df7d5062048bcd8e5d6abcced699b5d9206933cc1c0e20a018305f9768188d,male,speech
1,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29011734.mp3,common_voice_uz_29011734,Uzbek,1,1,128000,32,4,0.44096875,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29011734_MS2024.mat,0628678db0ac44d91b7a9f6675e4200566af749b178ca3712adb91f62edf040f13e3f57fb476c497dfe2141716687f338ab3a280c88ec95d189d192327c2e2cc,,speech
2,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29931006.mp3,common_voice_uz_29931006,Uzbek,1,1,128000,32,4,0.2568125,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29931006_MS2024.mat,30fd02023d452dbd8d83510cf487aabca11a7138c6245bf13db730dfd6e9f71e9f3ce9c7e690f730dcbd1ab281acd9b201a2a71b0dc81eac3c63620d7f79f993,female,speech
3,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29501242.mp3,common_voice_uz_29501242,Uzbek,1,1,128000,32,4,0.609375,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29501242_MS2024.mat,18a7efcd3ee36274ba9268d44303a01115e4cebab910d364fefd9e71840ebad871d2f4de85be4ffb42d29c1c3e36a4ef7b0e3d34aa45c9128ec582b74eee1563,male,speech
4,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29010037.mp3,common_voice_uz_29010037,Uzbek,1,1,128000,32,4,0.4015625,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29010037_MS2024.mat,92e5a098c9ca57542dc54785d136cee864a37989bdf79260739365d28ca1b610de6109e600b6c769be6427a1d563956b485234ff100b78ebdda8cb2cf37afb68,,speech
5,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29335470.mp3,common_voice_uz_29335470,Uzbek,1,1,128000,32,4,0.70675,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29335470_MS2024.mat,2160561702bac0e2048d2dc79810c2d8a6e6942a6dcac881613c06c4e55bff89d8a701dd45bbb60db546539d4ffb267306404c307352c9db5b3fbf197e8be9ed,male,speech
6,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29578585.mp3,common_voice_uz_29578585,Uzbek,1,1,128000,32,4,0.99978125,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29578585_MS2024.mat,bc69c744bf0f8464394b0554f6d87cc8e1bb9286bf3d13bf8492d0b48c3da997198a0f90a9fb9d7390d2bde284907bf6750dca97b9cd2d1195f51874358d334d,,speech
7,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_27669448.mp3,common_voice_uz_27669448,Uzbek,1,1,128000,32,4,0.91503125,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_27669448_MS2024.mat,3ec92acb6ea75a71d8eccf2686b5ea86a4c846043bb8bb181749226d8e8e7743a63e134b479800feeb7b42afeb07f0e8d39a11f700f3e6d669cbd378c080d2c4,,speech
8,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29401697.mp3,common_voice_uz_29401697,Uzbek,1,1,128000,32,4,0.85603125,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29401697_MS2024.mat,2a4eaf6e15cc7937c56ba742c2a29ad15f00f555ae20fd1efbbaadb944b991baf5df7d5062048bcd8e5d6abcced699b5d9206933cc1c0e20a018305f9768188d,,speech
9,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29914143.mp3,common_voice_uz_29914143,Uzbek,1,1,128000,32,4,0.67834375,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29914143_MS2024.mat,c17b4d5584046295518293197a75c3da917843649e63ae5364527bc62d43cf6c0d2681e01139a483ea04b70a1fce229e808f5d0c6c788261ee92ddb50ed4fd42,,speech
10,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29297187.mp3,common_voice_uz_29297187,Uzbek,1,1,128000,32,4,0.5015625,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29297187_MS2024.mat,1beb62c45f43a837fb4b6151172bc3a21c8c43ae84fa65f71cfbc47265c988842122fe4509c12b031e2acb30ba0f75fc5f5b8105906a1133cfee8895919b8560,male,speech
11,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29408851.mp3,common_voice_uz_29408851,Uzbek,1,1,128000,32,4,0.84396875,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29408851_MS2024.mat,2a4eaf6e15cc7937c56ba742c2a29ad15f00f555ae20fd1efbbaadb944b991baf5df7d5062048bcd8e5d6abcced699b5d9206933cc1c0e20a018305f9768188d,,speech
12,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29306415.mp3,common_voice_uz_29306415,Uzbek,1,1,128000,32,4,0.44421875,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29306415_MS2024.mat,92e5a098c9ca57542dc54785d136cee864a37989bdf79260739365d28ca1b610de6109e600b6c769be6427a1d563956b485234ff100b78ebdda8cb2cf37afb68,,speech
13,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29979461.mp3,common_voice_uz_29979461,Uzbek,1,1,128000,32,4,0.49621875,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29979461_MS2024.mat,c17b4d5584046295518293197a75c3da917843649e63ae5364527bc62d43cf6c0d2681e01139a483ea04b70a1fce229e808f5d0c6c788261ee92ddb50ed4fd42,,speech
14,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29804212.mp3,common_voice_uz_29804212,Uzbek,1,1,128000,32,4,0.51103125,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29804212_MS2024.mat,28f17a51e3d73a411606697113f170b2cf1e419c2c1768dc027b0c19216428e5e28ce1262009a105c29181fc17f0ed32d28964e6369631026d588d42197d90c2,female,speech
15,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29916799.mp3,common_voice_uz_29916799,Uzbek,1,1,128000,32,4,0.4263125,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29916799_MS2024.mat,2d69db1539ed9b96d6595b04376247cab6deb1d8210257672fa9628a25707dd29e006eba53c2cc8900c163210e0e1b31ef27ec322995dc2e2911cd8a29a20b3c,,speech
16,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29682759.mp3,common_voice_uz_29682759,Uzbek,1,1,128000,32,4,0.6566875,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29682759_MS2024.mat,30fd02023d452dbd8d83510cf487aabca11a7138c6245bf13db730dfd6e9f71e9f3ce9c7e690f730dcbd1ab281acd9b201a2a71b0dc81eac3c63620d7f79f993,female,speech
17,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29516303.mp3,common_voice_uz_29516303,Uzbek,1,1,256000,32,8,0.52721875,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29516303_MS2024.mat,4a573a695b662418b35dbc23a96e049e4fe3cf08c12154421356ba3a1ab36dc2b832d7c69eeb1e0c0fbe3a122dfd6073e053add586bd0a74203a852e3d42a9d8,,speech
18,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_28893107.mp3,common_voice_uz_28893107,Uzbek,1,1,128000,32,4,0.65809375,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_28893107_MS2024.mat,23fa231a6951ae22511f173e4502b5d2e48dcef3f08f17f4a90f830d286a30daf6cbd3aed7e8bcf359f20e2e15d53a2cad9fe065e6129a5ab5de56cebe19c4dd,male,speech
19,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_30043821.mp3,common_voice_uz_30043821,Uzbek,1,1,128000,32,4,0.37509375,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_30043821_MS2024.mat,30fd02023d452dbd8d83510cf487aabca11a7138c6245bf13db730dfd6e9f71e9f3ce9c7e690f730dcbd1ab281acd9b201a2a71b0dc81eac3c63620d7f79f993,female,speech
20,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29466013.mp3,common_voice_uz_29466013,Uzbek,1,1,128000,32,4,0.38765625,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29466013_MS2024.mat,30fd02023d452dbd8d83510cf487aabca11a7138c6245bf13db730dfd6e9f71e9f3ce9c7e690f730dcbd1ab281acd9b201a2a71b0dc81eac3c63620d7f79f993,female,speech
21,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29620353.mp3,common_voice_uz_29620353,Uzbek,1,1,128000,32,4,0.31028125,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29620353_MS2024.mat,6a3855ee900d8c85e66cc6528bb0ddfd57904ad1e49c562a9cca45aa75a2d9ca46f2e0cb0fb85f75b7525f8003ead6dea756f616b47cbed4cb59d5d3e9b70287,,speech
22,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_28889270.mp3,common_voice_uz_28889270,Uzbek,1,1,128000,32,4,0.93825,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_28889270_MS2024.mat,2ae2d155c46c917cab7a5c86e5efad51bb4af54cd40fb87ae6da6993475c8323ec15941e29b808cb06045896428e2afdd8dd155d468756f501074b0d26bf6964,male,speech
23,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29331126.mp3,common_voice_uz_29331126,Uzbek,1,1,256000,32,8,0.53159375,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29331126_MS2024.mat,2a4eaf6e15cc7937c56ba742c2a29ad15f00f555ae20fd1efbbaadb944b991baf5df7d5062048bcd8e5d6abcced699b5d9206933cc1c0e20a018305f9768188d,,speech
24,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29933818.mp3,common_voice_uz_29933818,Uzbek,1,1,128000,32,4,0.37840625,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29933818_MS2024.mat,30fd02023d452dbd8d83510cf487aabca11a7138c6245bf13db730dfd6e9f71e9f3ce9c7e690f730dcbd1ab281acd9b201a2a71b0dc81eac3c63620d7f79f993,female,speech
25,data/speechCorp/MozillaCommonVoice/uz/clips/common_voice_uz_29501517.mp3,common_voice_uz_29501517,Uzbek,1,1,128000,32,4,0.7015625,4,MozillaCommonVoice/uz,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/uz/common_voice_uz_29501517_MS2024.mat,8e2b71b2cdba369d477c55143c90c11c4a828c6f8edea4f9ddc2f6b7c87fba71882960e77260616f9cb01fd8f14ba9d4d1f70fe9dafb047428ad95ead9bf47b1,male,speech
