,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36917365.mp3,common_voice_yo_36917365,Yoruba,1,1,128000,32,4,0.66784375,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36917365_MS2024.mat,ae39ffbdbf4ae9788ec3715636218944e3e4275d12d3319864e3f013d36e64d6a7d210928dbdc92f0a232c7193bee9a148b5e3d7443967d8f96902a74c982960,,speech
1,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36918296.mp3,common_voice_yo_36918296,Yoruba,1,1,128000,32,4,0.8156875,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36918296_MS2024.mat,ae39ffbdbf4ae9788ec3715636218944e3e4275d12d3319864e3f013d36e64d6a7d210928dbdc92f0a232c7193bee9a148b5e3d7443967d8f96902a74c982960,,speech
2,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36881278.mp3,common_voice_yo_36881278,Yoruba,1,1,128000,32,4,0.36259375,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36881278_MS2024.mat,f92039a87082f42fe164be734c4e556f1481eb03d94081eec1301290892d5efccc3edbc8b623c0aa932a2db806c22d68c23613ebfae4742a732b25ddf34ef9f4,female,speech
3,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36891781.mp3,common_voice_yo_36891781,Yoruba,1,1,128000,32,4,0.8346875,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36891781_MS2024.mat,0ac82360fee517f14096a36e182152deaee9ee8a4f02c4f362fef6e5bd5595522111decb3e151c0ddf2259edd285f9b3fcd7373d551e9897d3b14dfc75a281d9,male,speech
4,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36938186.mp3,common_voice_yo_36938186,Yoruba,1,1,128000,32,4,0.2581875,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36938186_MS2024.mat,209a67b90650366013a8f7fb2d98aa8129bd7f554b0f3703b8a8cacd7c14aef8263e90f837999a789b7716a9e2c6c0c87bc614c4a51121e02e53450b81d4830d,,speech
5,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36881767.mp3,common_voice_yo_36881767,Yoruba,1,1,128000,32,4,0.842125,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36881767_MS2024.mat,f92039a87082f42fe164be734c4e556f1481eb03d94081eec1301290892d5efccc3edbc8b623c0aa932a2db806c22d68c23613ebfae4742a732b25ddf34ef9f4,female,speech
6,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36911978.mp3,common_voice_yo_36911978,Yoruba,1,1,128000,32,4,0.43871875,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36911978_MS2024.mat,2cf65d0512aef621283fb328a7fffbaba14ebfc5e7aa6b38b332900205fea1ffc35f4720ee35f781fc0dc0ddc87fde15485c63b7a2c10e14fc01511b3e28e6b9,male,speech
7,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36969532.mp3,common_voice_yo_36969532,Yoruba,1,1,256000,32,8,0.53471875,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36969532_MS2024.mat,2cf65d0512aef621283fb328a7fffbaba14ebfc5e7aa6b38b332900205fea1ffc35f4720ee35f781fc0dc0ddc87fde15485c63b7a2c10e14fc01511b3e28e6b9,male,speech
8,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36925649.mp3,common_voice_yo_36925649,Yoruba,1,1,128000,32,4,0.23121875,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36925649_MS2024.mat,3c4370d149605d0e7cfde3fc6590d0fbf7f771ef25babd03397db4df3a3b88c0857857b46ef7cfa93dafb675de30951e76ebf84bcd44c5b4a344cd87fa28e510,female,speech
9,data/speechCorp/MozillaCommonVoice/yo/clips/common_voice_yo_36917352.mp3,common_voice_yo_36917352,Yoruba,1,1,128000,32,4,0.44734375,4,MozillaCommonVoice/yo,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yo/common_voice_yo_36917352_MS2024.mat,7bc2ed85985f28af0f62be69494e94d712557f6d7893a0af9683a576d4e0e57dfe78d249b6f51ee6efd98c69f96c053ef723b075b391625f683a2153cb5184c7,female,speech
