,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_32324753.mp3,common_voice_yue_32324753,Cantonese,1,1,128000,32,4,0.73353125,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_32324753_MS2024.mat,5b115e003350ea04be06847ffa117250eb66c7dfe241de06105f461d2faca45b075885a9cdd97f115c95502cb753f91372fad33a6962b783e68b396f88ae6177,male,speech
1,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_31192896.mp3,common_voice_yue_31192896,Cantonese,1,1,128000,32,4,0.65496875,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_31192896_MS2024.mat,c4c67233fce80702299d138f94eec6bcaa08d4a26f90633450ad015284c5f76a0b835a2449105836742f9b9cdc47b1949c4983e988a7e9ebc9602c1aec9b99de,,speech
2,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_32359297.mp3,common_voice_yue_32359297,Cantonese,1,1,128000,32,4,0.82475,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_32359297_MS2024.mat,907bde46b252d2f09110840610289b7d30e30f25e544469094eb9c8e938e0421549f58a38cf44ec5d187723527fee9732172c43586aeada119c965ae51c96d31,,speech
3,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_33059436.mp3,common_voice_yue_33059436,Cantonese,1,1,128000,32,4,0.836125,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_33059436_MS2024.mat,5b115e003350ea04be06847ffa117250eb66c7dfe241de06105f461d2faca45b075885a9cdd97f115c95502cb753f91372fad33a6962b783e68b396f88ae6177,male,speech
4,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_31205484.mp3,common_voice_yue_31205484,Cantonese,1,1,128000,32,4,0.92240625,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_31205484_MS2024.mat,46fbc2e2f43d8ea7f4cfa7265e25661dd3382b15cced1d5fb5e8f76087b24759eccd14f9677613bcc3c7d5e7ec10a35629245d252331b51f94bae1c62eba60f9,,speech
5,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_31677867.mp3,common_voice_yue_31677867,Cantonese,1,1,128000,32,4,0.580375,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_31677867_MS2024.mat,5f23e90789309d1a174c2d8d6274dd7d7d297913bd5d145075f934184e40c78b744d148a96b5b942564670f0b4a08d47d1f27fa7c724a12b9fa9462a47901663,,speech
6,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_31482471.mp3,common_voice_yue_31482471,Cantonese,1,1,128000,32,4,0.5846875,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_31482471_MS2024.mat,871c46279899d591e18d74dca4b112ce924b5d5625071293ea136a3f40acdd06ba3b01d596f3e894801f93989522c94a04cb437dda191b9f6a3def566d07cb95,,speech
7,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_31941014.mp3,common_voice_yue_31941014,Cantonese,1,1,128000,32,4,0.92878125,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_31941014_MS2024.mat,bd82ef72fbf2aeb161e254575ac75b6c0b945da504f9919a17ea381e564626f07847369ffff6c677e77b43483031db64c24708e919ddaf19bc6ae9d56cf6b557,,speech
8,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_31429204.mp3,common_voice_yue_31429204,Cantonese,1,1,128000,32,4,0.91628125,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_31429204_MS2024.mat,bd75731ca9b320484180fbbaa9f17461a1a651cc1eb409337190ca8523174975e47b669944d5e8dd8b6a83b8289c4f2432c7ea2ab97abcdaedb9413a55831d78,male,speech
9,data/speechCorp/MozillaCommonVoice/yue/clips/common_voice_yue_31452164.mp3,common_voice_yue_31452164,Cantonese,1,1,128000,32,4,0.93459375,4,MozillaCommonVoice/yue,STM_output/MATs/speech_mat_wl4_MozillaCommonVoice/yue/common_voice_yue_31452164_MS2024.mat,01a2c53083b073d9d91b7def46d1db81c16ae2e71fc82edfa6b61dcca03949fde265b5a4e9bd106a453a335a72a37c09e1366ad508afb355a25292fe41c90279,female,speech
