,filepath,filename,LangOrInstru,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,corpus_type,mat_filename,speaker/artist,gender,genre,VoiOrNot
0,data/envCorp/SONYC/audio-18/38_008148.wav,38_008148,,1,384000,48,8,0.00016666666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/38_008148_MS2024.mat,SONYC_38,,,0
1,data/envCorp/SONYC/audio-4/01_008616.wav,01_008616,,1,384000,48,8,0.003,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_008616_MS2024.mat,SONYC_01,,,0
2,data/envCorp/SONYC/audio-18/27_005926.wav,27_005926,,1,384000,48,8,0.0026458333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_005926_MS2024.mat,SONYC_27,,,0
3,data/envCorp/SONYC/audio-10/01_002587.wav,01_002587,,1,384000,48,8,0.0012916666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_002587_MS2024.mat,SONYC_01,,,0
4,data/envCorp/SONYC/audio-5/04_013484.wav,04_013484,,1,384000,48,8,0.0012083333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/04_013484_MS2024.mat,SONYC_04,,,0
7,data/envCorp/SONYC/audio-10/49_027344.wav,49_027344,,1,384000,48,8,0.0027708333333333335,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/49_027344_MS2024.mat,SONYC_49,,,0
8,data/envCorp/SONYC/audio-5/38_008457.wav,38_008457,,1,384000,48,8,0.002958333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/38_008457_MS2024.mat,SONYC_38,,,0
11,data/envCorp/SONYC/audio-17/32_019156.wav,32_019156,,1,384000,48,8,0.007458333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/32_019156_MS2024.mat,SONYC_32,,,0
13,data/envCorp/SONYC/audio-13/06_002135.wav,06_002135,,1,384000,48,8,0.0028333333333333335,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/06_002135_MS2024.mat,SONYC_06,,,0
14,data/envCorp/SONYC/audio-11/06_004962.wav,06_004962,,1,384000,48,8,0.0073125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/06_004962_MS2024.mat,SONYC_06,,,0
