,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/SpeechClarity/clarity_utterances/audio/T017_J10_02812.wav,T017_J10_02812,English-UK,1,1,176400,44.1,4,0.38780045351473924,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T017_J10_02812_MS2024.mat,SpeechClarity_T01,
1,data/speechCorp/SpeechClarity/clarity_utterances/audio/T024_K8U_02170.wav,T024_K8U_02170,English-UK,1,1,176400,44.1,4,0.3556235827664399,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T024_K8U_02170_MS2024.mat,SpeechClarity_T02,
2,data/speechCorp/SpeechClarity/clarity_utterances/audio/T008_H9H_00451.wav,T008_H9H_00451,English-UK,1,1,176400,44.1,4,0.7528344671201814,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T008_H9H_00451_MS2024.mat,SpeechClarity_T00,
3,data/speechCorp/SpeechClarity/clarity_utterances/audio/T026_EA3_01043.wav,T026_EA3_01043,English-UK,1,1,176400,44.1,4,0.3958730158730159,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T026_EA3_01043_MS2024.mat,SpeechClarity_T02,
4,data/speechCorp/SpeechClarity/clarity_utterances/audio/T005_CDK_00961.wav,T005_CDK_00961,English-UK,1,1,176400,44.1,4,0.3574829931972789,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T005_CDK_00961_MS2024.mat,SpeechClarity_T00,
5,data/speechCorp/SpeechClarity/clarity_utterances/audio/T024_CM8_00990.wav,T024_CM8_00990,English-UK,1,1,176400,44.1,4,0.7883673469387755,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T024_CM8_00990_MS2024.mat,SpeechClarity_T02,
6,data/speechCorp/SpeechClarity/clarity_utterances/audio/T005_H94_00823.wav,T005_H94_00823,English-UK,1,1,176400,44.1,4,0.5324263038548753,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T005_H94_00823_MS2024.mat,SpeechClarity_T00,
7,data/speechCorp/SpeechClarity/clarity_utterances/audio/T029_G15_00578.wav,T029_G15_00578,English-UK,1,1,176400,44.1,4,0.5335827664399093,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T029_G15_00578_MS2024.mat,SpeechClarity_T02,
8,data/speechCorp/SpeechClarity/clarity_utterances/audio/T008_K1B_00003.wav,T008_K1B_00003,English-UK,1,1,176400,44.1,4,0.3909750566893424,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T008_K1B_00003_MS2024.mat,SpeechClarity_T00,
9,data/speechCorp/SpeechClarity/clarity_utterances/audio/T012_K5L_00370.wav,T012_K5L_00370,English-UK,1,1,176400,44.1,4,0.6410884353741496,4,SpeechClarity,STM_output/MATs/speech_mat_wl4_SpeechClarity/T012_K5L_00370_MS2024.mat,SpeechClarity_T01,
