,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/TAT-Vol2/condenser/TH_THM0018/TH_THM0018_0029-5.59-03.wav,TH_THM0018_0029-5.59-03,Taiwanese,1,1,128000,16,8,0.0010625,4,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TH_THM0018_0029-5.59-03_MS2024.mat,TAT-Vol2_TH_THM0018,M,speech
1,data/speechCorp/TAT-Vol2/condenser/TS_TSF0017/TS_TSF0017_0035-4.24-03.wav,TS_TSF0017_0035-4.24-03,Taiwanese,1,1,64000,16,4,0.106875,4,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TS_TSF0017_0035-4.24-03_MS2024.mat,TAT-Vol2_TS_TSF0017,F,speech
2,data/speechCorp/TAT-Vol2/condenser/TH_THM0018/TH_THM0018_0029-3.51-03.wav,TH_THM0018_0029-3.51-03,Taiwanese,1,1,128000,16,8,0.4871875,8,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TH_THM0018_0029-3.51-03_MS2024.mat,TAT-Vol2_TH_THM0018,M,speech
3,data/speechCorp/TAT-Vol2/condenser/TS_TSF0017/TS_TSF0017_0035-3.6-03.wav,TS_TSF0017_0035-3.6-03,Taiwanese,1,1,64000,16,4,0.1028125,4,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TS_TSF0017_0035-3.6-03_MS2024.mat,TAT-Vol2_TS_TSF0017,F,speech
4,data/speechCorp/TAT-Vol2/condenser/TH_THM0018/TH_THM0018_0029-6.2-03.wav,TH_THM0018_0029-6.2-03,Taiwanese,1,1,64000,16,4,0.0216875,4,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TH_THM0018_0029-6.2-03_MS2024.mat,TAT-Vol2_TH_THM0018,M,speech
5,data/speechCorp/TAT-Vol2/condenser/TS_TSM0020/TS_TSM0020_0035-6.20-03.wav,TS_TSM0020_0035-6.20-03,Taiwanese,1,1,64000,16,4,0.02875,4,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TS_TSM0020_0035-6.20-03_MS2024.mat,TAT-Vol2_TS_TSM0020,M,speech
6,data/speechCorp/TAT-Vol2/condenser/TH_THM0018/TH_THM0018_0029-6.66-03.wav,TH_THM0018_0029-6.66-03,Taiwanese,1,1,64000,16,4,0.08775,4,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TH_THM0018_0029-6.66-03_MS2024.mat,TAT-Vol2_TH_THM0018,M,speech
7,data/speechCorp/TAT-Vol2/condenser/TH_THM0018/TH_THM0018_0029-5.110-03.wav,TH_THM0018_0029-5.110-03,Taiwanese,1,1,192000,16,12,0.47975,8,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TH_THM0018_0029-5.110-03_MS2024.mat,TAT-Vol2_TH_THM0018,M,speech
8,data/speechCorp/TAT-Vol2/condenser/TS_TSM0020/TS_TSM0020_0035-3.17-03.wav,TS_TSM0020_0035-3.17-03,Taiwanese,1,1,128000,16,8,0.1029375,8,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TS_TSM0020_0035-3.17-03_MS2024.mat,TAT-Vol2_TS_TSM0020,M,speech
9,data/speechCorp/TAT-Vol2/condenser/TH_THM0018/TH_THM0018_0029-5.107-03.wav,TH_THM0018_0029-5.107-03,Taiwanese,1,1,64000,16,4,0.0010625,4,TAT-Vol2,STM_output/MATs/speech_mat_wl4_TAT-Vol2/TH_THM0018_0029-5.107-03_MS2024.mat,TAT-Vol2_TH_THM0018,M,speech
