,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,corpus_type
0,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
1,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
2,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
3,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
4,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
5,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
6,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
7,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
8,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
9,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
10,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
11,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
12,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
13,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
14,data/speechCorp/room_reader/audio/individual_participants_audio/S11/S11_T002_Emily.wav,S11_T002_Emily,English-mixed,1,1,7552000,32,236,0.92715625,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S11_T002_Emily_MS2024.mat,RoomReader_T002,F,speech
15,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
16,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
17,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
18,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
19,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
20,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
21,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
22,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
23,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
24,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
25,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
26,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
27,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
28,data/speechCorp/room_reader/audio/individual_participants_audio/S05/S05_T002_Charlie.wav,S05_T002_Charlie,English-mixed,1,1,5120000,32,160,0.993125,120,room_reader,STM_output/MATs/speech_mat_wl4_room_reader/S05_T002_Charlie_MS2024.mat,RoomReader_T002,F,speech
