,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender
0,data/speechCorp/thchs30/data/D32_753.wav,D32_753,Mandarin-China,1,1,128000,16,8,0.1476875,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/D32_753_MS2024.mat,thchs30_D32,
1,data/speechCorp/thchs30/data/A34_148.wav,A34_148,Mandarin-China,1,1,192000,16,12,0.7753125,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/A34_148_MS2024.mat,thchs30_A34,
2,data/speechCorp/thchs30/data/C8_538.wav,C8_538,Mandarin-China,1,1,64000,16,4,0.771875,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C8_538_MS2024.mat,thchs30_C8,
3,data/speechCorp/thchs30/data/C22_713.wav,C22_713,Mandarin-China,1,1,192000,16,12,0.7986875,12,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C22_713_MS2024.mat,thchs30_C22,
4,data/speechCorp/thchs30/data/C12_573.wav,C12_573,Mandarin-China,1,1,128000,16,8,0.5469375,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C12_573_MS2024.mat,thchs30_C12,
5,data/speechCorp/thchs30/data/D6_958.wav,D6_958,Mandarin-China,1,1,128000,16,8,0.2709375,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/D6_958_MS2024.mat,thchs30_D6,
6,data/speechCorp/thchs30/data/A9_2.wav,A9_2,Mandarin-China,1,1,128000,16,8,0.1103125,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/A9_2_MS2024.mat,thchs30_A9,
7,data/speechCorp/thchs30/data/C14_505.wav,C14_505,Mandarin-China,1,1,128000,16,8,0.0546875,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C14_505_MS2024.mat,thchs30_C14,
8,data/speechCorp/thchs30/data/B11_273.wav,B11_273,Mandarin-China,1,1,64000,16,4,0.1685,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/B11_273_MS2024.mat,thchs30_B11,
9,data/speechCorp/thchs30/data/B2_468.wav,B2_468,Mandarin-China,1,1,64000,16,4,0.4084375,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/B2_468_MS2024.mat,thchs30_B2,
10,data/speechCorp/thchs30/data/C13_595.wav,C13_595,Mandarin-China,1,1,128000,16,8,0.57875,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C13_595_MS2024.mat,thchs30_C13,
11,data/speechCorp/thchs30/data/B8_390.wav,B8_390,Mandarin-China,1,1,64000,16,4,0.0039375,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/B8_390_MS2024.mat,thchs30_B8,
12,data/speechCorp/thchs30/data/C31_518.wav,C31_518,Mandarin-China,1,1,64000,16,4,0.6248125,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C31_518_MS2024.mat,thchs30_C31,
13,data/speechCorp/thchs30/data/C23_588.wav,C23_588,Mandarin-China,1,1,128000,16,8,0.4695,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C23_588_MS2024.mat,thchs30_C23,
14,data/speechCorp/thchs30/data/C7_615.wav,C7_615,Mandarin-China,1,1,128000,16,8,0.2,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C7_615_MS2024.mat,thchs30_C7,
15,data/speechCorp/thchs30/data/A14_54.wav,A14_54,Mandarin-China,1,1,128000,16,8,0.6409375,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/A14_54_MS2024.mat,thchs30_A14,
16,data/speechCorp/thchs30/data/D13_891.wav,D13_891,Mandarin-China,1,1,128000,16,8,0.593625,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/D13_891_MS2024.mat,thchs30_D13,
17,data/speechCorp/thchs30/data/A11_155.wav,A11_155,Mandarin-China,1,1,128000,16,8,0.9883125,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/A11_155_MS2024.mat,thchs30_A11,
18,data/speechCorp/thchs30/data/C8_745.wav,C8_745,Mandarin-China,1,1,64000,16,4,0.7320625,4,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/C8_745_MS2024.mat,thchs30_C8,
19,data/speechCorp/thchs30/data/D4_802.wav,D4_802,Mandarin-China,1,1,128000,16,8,0.4254375,8,thchs30,STM_output/MATs/speech_mat_wl4_thchs30/D4_802_MS2024.mat,thchs30_D4,
